"","iata","icao","name","lat","lon","zone"
"1","ATL","KATL","Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"Temperate"
"2","PEK","ZBAA","Beijing Capital International Airport",40.08010101,116.5849991,"Temperate"
"3","LAX","KLAX","Los Angeles International Airport",33.942501,-118.407997,"Temperate"
"4","DXB","OMDB","Dubai International Airport",25.25279999,55.36439896,"Temperate"
"5","ORD","KORD","Chicago O'Hare International Airport",41.9786,-87.9048,"Temperate"
"6","LHR","EGLL","London Heathrow Airport",51.4706,-0.461941,"Temperate"
"7","HND","RJTT","Tokyo Haneda International Airport",35.552299,139.779999,"Temperate"
"8","PVG","ZSPD","Shanghai Pudong International Airport",31.1434,121.805,"Temperate"
"9","CDG","LFPG","Charles de Gaulle International Airport",49.012798,2.55,"Temperate"
"10","CAN","ZGGG","Guangzhou Baiyun International Airport",23.392401,113.299004,"Tropical"
"11","HKG","VHHH","Hong Kong International Airport",22.308901,113.915001,"Tropical"
"12","DFW","KDFW","Dallas Fort Worth International Airport",32.896801,-97.038002,"Temperate"
"13","AMS","EHAM","Amsterdam Airport Schiphol",52.308601,4.76389,"Temperate"
"14","DEL","VIDP","Indira Gandhi International Airport",28.5665,77.103104,"Temperate"
"15","FRA","EDDF","Frankfurt am Main Airport",50.033333,8.570556,"Temperate"
"16","ICN","RKSI","Incheon International Airport",37.46910095,126.4509964,"Temperate"
"17","SIN","WSSS","Singapore Changi Airport",1.35019,103.994003,"Tropical"
"18","DEN","KDEN","Denver International Airport",39.86169815,-104.6729965,"Temperate"
"19","IST","LTFM","İstanbul Airport",41.261297,28.741951,"Temperate"
"20","BKK","VTBS","Suvarnabhumi Airport",13.68109989,100.7470016,"Tropical"
"21","JFK","KJFK","John F Kennedy International Airport",40.639801,-73.7789,"Temperate"
"22","KUL","WMKK","Kuala Lumpur International Airport",2.745579958,101.7099991,"Tropical"
"23","MAD","LEMD","Adolfo Suárez Madrid–Barajas Airport",40.471926,-3.56264,"Temperate"
"24","CGK","WIII","Soekarno-Hatta International Airport",-6.12556982,106.6559982,"Tropical"
