"iata","icao","name","lat","lon","zone"
"ATL","KATL","Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"Temperate"
"PEK","ZBAA","Beijing Capital International Airport",40.08010101,116.5849991,"Temperate"
"LAX","KLAX","Los Angeles International Airport",33.942501,-118.407997,"Temperate"
"DXB","OMDB","Dubai International Airport",25.25279999,55.36439896,"Temperate"
"ORD","KORD","Chicago O'Hare International Airport",41.9786,-87.9048,"Temperate"
"LHR","EGLL","London Heathrow Airport",51.4706,-0.461941,"Temperate"
"HND","RJTT","Tokyo Haneda International Airport",35.552299,139.779999,"Temperate"
"PVG","ZSPD","Shanghai Pudong International Airport",31.1434,121.805,"Temperate"
"CDG","LFPG","Charles de Gaulle International Airport",49.012798,2.55,"Temperate"
"CAN","ZGGG","Guangzhou Baiyun International Airport",23.392401,113.299004,"Tropical"
"HKG","VHHH","Hong Kong International Airport",22.308901,113.915001,"Tropical"
"DFW","KDFW","Dallas Fort Worth International Airport",32.896801,-97.038002,"Temperate"
"AMS","EHAM","Amsterdam Airport Schiphol",52.308601,4.76389,"Temperate"
"DEL","VIDP","Indira Gandhi International Airport",28.5665,77.103104,"Temperate"
"FRA","EDDF","Frankfurt am Main Airport",50.033333,8.570556,"Temperate"
"ICN","RKSI","Incheon International Airport",37.46910095,126.4509964,"Temperate"
"SIN","WSSS","Singapore Changi Airport",1.35019,103.994003,"Tropical"
"DEN","KDEN","Denver International Airport",39.86169815,-104.6729965,"Temperate"
"IST","LTFM","İstanbul Airport",41.261297,28.741951,"Temperate"
"BKK","VTBS","Suvarnabhumi Airport",13.68109989,100.7470016,"Tropical"
"JFK","KJFK","John F Kennedy International Airport",40.639801,-73.7789,"Temperate"
"KUL","WMKK","Kuala Lumpur International Airport",2.745579958,101.7099991,"Tropical"
"MAD","LEMD","Adolfo Suárez Madrid–Barajas Airport",40.471926,-3.56264,"Temperate"
"CGK","WIII","Soekarno-Hatta International Airport",-6.12556982,106.6559982,"Tropical"
"SFO","KSFO","San Francisco International Airport",37.61899948,-122.375,"Temperate"
"CTU","ZUUU","Chengdu Shuangliu International Airport",30.57850075,103.9469986,"Temperate"
"SZX","ZGSZ","Shenzhen Bao'an International Airport",22.639299,113.810997,"Tropical"
"BCN","LEBL","Barcelona International Airport",41.2971,2.07846,"Temperate"
"SEA","KSEA","Seattle Tacoma International Airport",47.449001,-122.308998,"Temperate"
"MEX","MMMX","Licenciado Benito Juarez International Airport",19.4363,-99.072098,"Tropical"
"YYZ","CYYZ","Lester B. Pearson International Airport",43.67720032,-79.63059998,"Temperate"
"MCO","KMCO","Orlando International Airport",28.42939949,-81.30899811,"Temperate"
"LAS","KLAS","McCarran International Airport",36.08010101,-115.1520004,"Temperate"
"CLT","KCLT","Charlotte Douglas International Airport",35.2140007,-80.94309998,"Temperate"
"SVO","UUEE","Sheremetyevo International Airport",55.972599,37.4146,"Temperate"
"BOM","VABB","Chhatrapati Shivaji International Airport",19.08869934,72.86789703,"Tropical"
"TPE","RCTP","Taiwan Taoyuan International Airport",25.0777,121.233002,"Temperate"
"MNL","RPLL","Ninoy Aquino International Airport",14.5086,121.019997,"Tropical"
"MUC","EDDM","Munich Airport",48.353802,11.7861,"Temperate"
"KMG","ZPPP","Kunming Changshui International Airport",25.1019444,102.9291667,"Temperate"
"EWR","KEWR","Newark Liberty International Airport",40.692501,-74.168701,"Temperate"
"XIY","ZLXY","Xi'an Xianyang International Airport",34.447102,108.751999,"Temperate"
"SYD","YSSY","Sydney Kingsford Smith International Airport",-33.94609833,151.177002,"Temperate"
"LGW","EGKK","London Gatwick Airport",51.148102,-0.190278,"Temperate"
"SHA","ZSSS","Shanghai Hongqiao International Airport",31.198104,121.33426,"Temperate"
"PHX","KPHX","Phoenix Sky Harbor International Airport",33.435302,-112.005905,"Temperate"
"IAH","KIAH","George Bush Intercontinental Houston Airport",29.9843998,-95.34140015,"Temperate"
"FCO","LIRF","Leonardo da Vinci–Fiumicino Airport",41.8002778,12.2388889,"Temperate"
"GRU","SBGR","Guarulhos - Governador André Franco Montoro International Airport",-23.43555641,-46.47305679,"Tropical"
"CKG","ZUCK","Chongqing Jiangbei International Airport",29.71920013,106.6419983,"Temperate"
"MIA","KMIA","Miami International Airport",25.79319954,-80.29060364,"Temperate"
"NRT","RJAA","Narita International Airport",35.764702,140.386002,"Temperate"
"BOS","KBOS","Logan International Airport",42.3643,-71.005203,"Temperate"
"DMK","VTBD","Don Mueang International Airport",13.91259956,100.6070023,"Tropical"
"SGN","VVTS","Tan Son Nhat International Airport",10.8188,106.652,"Tropical"
"MEL","YMML","Melbourne International Airport",-37.673302,144.843002,"Temperate"
"HGH","ZSHC","Hangzhou Xiaoshan International Airport",30.22949982,120.4339981,"Temperate"
"MSP","KMSP","Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field",44.882,-93.221802,"Temperate"
"DOH","OTHH","Hamad International Airport",25.273056,51.608056,"Temperate"
"FLL","KFLL","Fort Lauderdale Hollywood International Airport",26.072599,-80.152702,"Temperate"
"DTW","KDTW","Detroit Metropolitan Wayne County Airport",42.21239853,-83.35340118,"Temperate"
"SAW","LTFJ","Istanbul Sabiha Gökçen International Airport",40.898602,29.3092,"Temperate"
"JED","OEJN","King Abdulaziz International Airport",21.6796,39.156502,"Tropical"
"BOG","SKBO","El Dorado International Airport",4.70159,-74.1469,"Tropical"
"BLR","VOBL","Kempegowda International Airport",13.1979,77.706299,"Tropical"
"DUB","EIDW","Dublin Airport",53.421299,-6.27007,"Temperate"
"ZRH","LSZH","Zürich Airport",47.458056,8.548056,"Temperate"
"PHL","KPHL","Philadelphia International Airport",39.87189865,-75.2410965,"Temperate"
"ORY","LFPO","Paris-Orly Airport",48.7233333,2.3794444,"Temperate"
"VIE","LOWW","Vienna International Airport",48.110298,16.5697,"Temperate"
"LGA","KLGA","La Guardia Airport",40.777199,-73.872597,"Temperate"
"KIX","RJBB","Kansai International Airport",34.427299,135.244003,"Temperate"
"LIS","LPPT","Humberto Delgado Airport (Lisbon Portela Airport)",38.7813,-9.13592,"Temperate"
"NKG","ZSNJ","Nanjing Lukou Airport",31.74200058,118.8619995,"Temperate"
"CPH","EKCH","Copenhagen Kastrup Airport",55.61790085,12.65600014,"Temperate"
"MAN","EGCC","Manchester Airport",53.349375,-2.279521,"Temperate"
"MXP","LIMC","Malpensa International Airport",45.6306,8.72811,"Temperate"
"PMI","LEPA","Palma De Mallorca Airport",39.55170059,2.738810062,"Temperate"
"CJU","RKPC","Jeju International Airport",33.51129913,126.4929962,"Temperate"
"HAN","VVNB","Noi Bai International Airport",21.221201,105.806999,"Tropical"
"STN","EGSS","London Stansted Airport",51.88499832,0.234999999,"Temperate"
"OSL","ENGM","Oslo Gardermoen Airport",60.19390106,11.10039997,"Temperate"
"XMN","ZSAM","Xiamen Gaoqi International Airport",24.54400063,118.1279984,"Temperate"
"CGO","ZHCC","Zhengzhou Xinzheng International Airport",34.5196991,113.8410034,"Temperate"
"BWI","KBWI","Baltimore/Washington International Thurgood Marshall Airport",39.1754,-76.668297,"Temperate"
"DUS","EDDL","Düsseldorf Airport",51.289501,6.76678,"Temperate"
"YVR","CYVR","Vancouver International Airport",49.19390106,-123.1839981,"Temperate"
"BRU","EBBR","Brussels Airport",50.90140152,4.48443985,"Temperate"
"SLC","KSLC","Salt Lake City International Airport",40.785749,-111.979746,"Temperate"
"WUH","ZHHH","Wuhan Tianhe International Airport",30.7838,114.208,"Temperate"
"ATH","LGAV","Eleftherios Venizelos International Airport",37.93640137,23.94449997,"Temperate"
"ARN","ESSA","Stockholm-Arlanda Airport",59.65190125,17.91860008,"Temperate"
"DME","UUDD","Domodedovo International Airport",55.40879822,37.90629959,"Temperate"
"SAN","KSAN","San Diego International Airport",32.73360062,-117.1900024,"Temperate"
"LIM","SPJC","Jorge Chávez International Airport",-12.0219,-77.114305,"Tropical"
"SCL","SCEL","Comodoro Arturo Merino Benítez International Airport",-33.39300156,-70.78579712,"Temperate"
"RUH","OERK","King Khaled International Airport",24.95759964,46.69879913,"Temperate"
"CSX","ZGHA","Changsha Huanghua International Airport",28.18919945,113.2200012,"Temperate"
"TAO","ZSQD","Qingdao Jiaodong International Airport",36.361953,120.088171,"Temperate"
"CUN","MMUN","Cancún International Airport",21.03650093,-86.87709808,"Tropical"
"BNE","YBBN","Brisbane International Airport",-27.38419914,153.1170044,"Temperate"
"HYD","VOHS","Rajiv Gandhi International Airport",17.231318,78.429855,"Tropical"
"IAD","KIAD","Washington Dulles International Airport",38.9445,-77.455803,"Temperate"
"DPS","WADD","Ngurah Rai (Bali) International Airport",-8.748169899,115.1669998,"Tropical"
"GMP","RKSS","Gimpo International Airport",37.5583,126.791,"Temperate"
"URC","ZWWW","Ürümqi Diwopu International Airport",43.90710068,87.47419739,"Temperate"
"HAK","ZJHK","Haikou Meilan International Airport",19.9349,110.459,"Tropical"
"MAA","VOMM","Chennai International Airport",12.990005,80.169296,"Tropical"
"AYT","LTAI","Antalya International Airport",36.898701,30.800501,"Temperate"
"CCU","VECC","Netaji Subhash Chandra Bose International Airport",22.65469933,88.44670105,"Tropical"
"DCA","KDCA","Ronald Reagan Washington National Airport",38.8521,-77.037697,"Temperate"
"TSN","ZBTJ","Tianjin Binhai International Airport",39.12440109,117.3460007,"Temperate"
"TLV","LLBG","Ben Gurion International Airport",32.01139832,34.88669968,"Temperate"
"CGH","SBSP","Congonhas Airport",-23.62611008,-46.65638733,"Temperate"
"FUK","RJFF","Fukuoka Airport",33.58589935,130.451004,"Temperate"
"TPA","KTPA","Tampa International Airport",27.97550011,-82.53320313,"Temperate"
"HEL","EFHK","Helsinki Vantaa Airport",60.3172,24.963301,"Temperate"
"CTS","RJCC","New Chitose Airport",42.7752,141.692001,"Temperate"
"JNB","FAOR","OR Tambo International Airport",-26.1392,28.246,"Temperate"
"KWE","ZUGY","Longdongbao Airport",26.53849983,106.8010025,"Temperate"
"AUH","OMAA","Abu Dhabi International Airport",24.443764,54.651718,"Temperate"
"AKL","NZAA","Auckland International Airport",-37.008099,174.792007,"Temperate"
"HNL","PHNL","Daniel K Inouye International Airport",21.32062,-157.924228,"Tropical"
"MDW","KMDW","Chicago Midway International Airport",41.785999,-87.752403,"Temperate"
"HRB","ZYHB","Taiping Airport",45.62340164,126.25,"Temperate"
"YUL","CYUL","Montreal / Pierre Elliott Trudeau International Airport",45.47060013,-73.74079895,"Temperate"
"OKA","ROAH","Naha Airport / JASDF Naha Air Base",26.195801,127.646004,"Temperate"
"DLC","ZYTL","Dalian Zhoushuizi International Airport",38.965698,121.539001,"Temperate"
"PDX","KPDX","Portland International Airport",45.58869934,-122.5979996,"Temperate"
"VKO","UUWW","Vnukovo International Airport",55.59149933,37.26150131,"Temperate"
"AGP","LEMG","Málaga Airport",36.67490005,-4.499110222,"Temperate"
"SHE","ZYTX","Shenyang Taoxian International Airport",41.639801,123.483002,"Temperate"
"SYX","ZJSY","Sanya Phoenix International Airport",18.3029,109.412003,"Tropical"
"SUB","WARR","Juanda International Airport",-7.379829884,112.7870026,"Tropical"
"GVA","LSGG","Geneva Cointrin International Airport",46.23809814,6.108950138,"Temperate"
"LTN","EGGW","London Luton Airport",51.87469864,-0.368333012,"Temperate"
"CAI","HECA","Cairo International Airport",30.12190056,31.40559959,"Temperate"
"WAW","EPWA","Warsaw Chopin Airport",52.16569901,20.96710014,"Temperate"
"BNA","KBNA","Nashville International Airport",36.12450027,-86.67819977,"Temperate"
"YYC","CYYC","Calgary International Airport",51.11389923,-114.0199966,"Temperate"
"HAM","EDDH","Hamburg Helmut Schmidt Airport",53.630402,9.98823,"Temperate"
"HKT","VTSP","Phuket International Airport",8.1132,98.316902,"Tropical"
"LED","ULLI","Pulkovo Airport",59.8003006,30.26250076,"Temperate"
"PUS","RKPK","Gimhae International Airport",35.17950058,128.9380035,"Temperate"
"PRG","LKPR","Václav Havel Airport Prague",50.1008,14.26,"Temperate"
"BSB","SBBR","Presidente Juscelino Kubitschek International Airport",-15.869167,-47.920834,"Tropical"
"PTY","MPTO","Tocumen International Airport",9.071359634,-79.38349915,"Tropical"
"AUS","KAUS","Austin Bergstrom International Airport",30.197535,-97.662015,"Temperate"
"DAL","KDAL","Dallas Love Field",32.847099,-96.851799,"Temperate"
"TNA","ZSJN","Yaoqiang Airport",36.85720062,117.2160034,"Temperate"
"BUD","LHBP","Budapest Liszt Ferenc International Airport",47.42976,19.261093,"Temperate"
"MCT","OOMS","Muscat International Airport",23.59329987,58.28440094,"Temperate"
"STL","KSTL","St Louis Lambert International Airport",38.748697,-90.370003,"Temperate"
"NNG","ZGNN","Nanning Wuxu Airport",22.608299,108.171997,"Tropical"
"SJC","KSJC","Norman Y. Mineta San Jose International Airport",37.362598,-121.929001,"Temperate"
"ITM","RJOO","Osaka International Airport",34.78549957,135.4380035,"Temperate"
"KWI","OKBK","Kuwait International Airport",29.22660065,47.96889877,"Temperate"
"FOC","ZSFZ","Fuzhou Changle International Airport",25.93510056,119.663002,"Temperate"
"EDI","EGPH","Edinburgh Airport",55.95000076,-3.372499943,"Temperate"
"ALC","LEAL","Alicante International Airport",38.28219986,-0.558156013,"Temperate"
"GDL","MMGL","Don Miguel Hidalgo Y Costilla International Airport",20.52179909,-103.310997,"Tropical"
"NCE","LFMN","Nice-Côte d'Azur Airport",43.65840149,7.215869904,"Temperate"
"OTP","LROP","Henri Coandă International Airport",44.5711111,26.085,"Temperate"
"HOU","KHOU","William P Hobby Airport",29.64539909,-95.27890015,"Temperate"
"LHW","ZLLL","Lanzhou Zhongchuan Airport",36.51520157,103.6200027,"Temperate"
"DAD","VVDN","Da Nang International Airport",16.04389954,108.1989975,"Tropical"
"GIG","SBGL","Rio Galeão – Tom Jobim International Airport",-22.80999947,-43.25055695,"Tropical"
