iata,traffic
ATL,106893692
PEK,102607733
LAX,85353489
DXB,83885803
ORD,82178586
LHR,79503185
HND,76258178
PVG,75796080
CDG,75294622
CAN,73324707
HKG,71646373
DFW,71323860
AMS,70194577
DEL,69584339
FRA,68897126
ICN,68525506
SIN,67112347
DEN,66933964
IST,65543666
BKK,63290345
JFK,62508366
KUL,62107254
MAD,61113285
CGK,59113567
SFO,55466611
CTU,53699796
SZX,53032086
BCN,52082777
SEA,49908383
MEX,49889788
YYZ,49671134
MCO,49176047
LAS,48864787
CLT,48355004
SVO,48266480
BOM,48013340
TPE,47601892
MNL,47127119
MUC,47096363
KMG,46841760
EWR,46246543
XIY,45891309
SYD,45867841
LGW,45744616
SHA,45736120
PHX,44618187
IAH,43711567
FCO,43468941
GRU,43190694
CKG,43175921
MIA,42625926
NRT,42141129
BOS,41327895
DMK,41067387
SGN,39808122
MEL,38432860
HGH,38266095
MSP,38230943
DOH,37485426
FLL,36192221
DTW,36141953
SAW,35126937
JED,34854963
BOG,34147304
BLR,33919198
DUB,32436141
ZRH,32333772
PHL,32243699
ORY,32138631
VIE,31140162
LGA,30732313
KIX,30659625
LIS,30160691
NKG,29486274
CPH,29449543
MAN,29219442
MXP,28769097
PMI,28634273
CJU,28298164
HAN,28229136
STN,27907304
OSL,27717821
XMN,27158687
CGO,26802787
BWI,26333575
DUS,26316595
YVR,26309396
BRU,25785525
SLC,25586374
WUH,25541277
ATH,25365138
ARN,25364173
DME,25202334
SAN,25181897
LIM,25165344
SCL,25033390
RUH,24820366
CSX,24678185
TAO,24668914
CUN,24667412
BNE,24630567
HYD,24627017
TXL,24219002
IAD,23797703
DPS,23673172
GMP,23652691
URC,23583373
HAK,23426455
MAA,23306436
AYT,23277956
CCU,23264543
DCA,23148134
TSN,22949315
TLV,22890698
CGH,22689601
FUK,22018699
TPA,21784105
HEL,21737926
CTS,21555919
JNB,21120080
KWE,20576521
AUH,20480178
AKL,20466631
HNL,20362514
MDW,20199351
HRB,20152695
YUL,20128465
OKA,20100470
DLC,19726630
PDX,19505884
VKO,19445189
AGP,19377549
SHE,19374337
SYX,19361410
SUB,18658631
