mass,todr
65250,1291.5
65500,1299.5
65750,1309.4
66000,1319.4
66250,1329.3
66500,1339.3
66750,1351.2
67000,1363.2
67250,1373.2
67500,1383.1
67750,1393.1
68000,1403
68250,1413
68500,1424.9
68750,1434.9
69000,1446.3
69250,1457.8
69500,1468.7
69750,1480.1
70000,1490.6
70250,1502.1
70500,1512.3
70750,1523.8
71000,1534.4
71250,1546.4
71500,1558.3
71750,1568.3
72000,1578.2
72250,1590.2
72500,1602.1
72750,1614.7
73000,1626
73250,1638
73500,1649.9
73750,1661.9
74000,1671.8
74250,1681.8
74500,1697.7
74750,1709.7
75000,1721.6
75250,1733.6
75500,1745.5
75750,1757.5
76000,1769.8
76250,1782.7
76500,1795.3
76750,1808.6
77000,1821.5
