mass,todr
164500,1581.1
164750,1581.1
165000,1582.4
165250,1582.4
165500,1583.7
165750,1585
166000,1585
166250,1586.3
166500,1587.6
166750,1587.6
167000,1588.9
167250,1590.1
167500,1590.1
167750,1591.4
168000,1592.7
168250,1594
168500,1594
168750,1595.3
169000,1596.6
169250,1597.9
169500,1597.9
169750,1599.2
170000,1599.2
170250,1600.5
170500,1601.8
170750,1603.1
171000,1603.1
171250,1604.4
171500,1605.7
171750,1605.7
172000,1606.9
172250,1608.2
172500,1608.2
172750,1609.5
173000,1610.8
173250,1610.8
173500,1612.1
173750,1613.4
174000,1613.4
174250,1614.7
174500,1616
174750,1616
175000,1617.3
175250,1618.6
175500,1618.6
175750,1619.9
176000,1621.2
176250,1621.2
176500,1622.5
176750,1623.7
177000,1623.7
177250,1625
177500,1626.3
177750,1627.6
178000,1627.6
178250,1628.9
178500,1630.2
178750,1631.5
179000,1631.5
179250,1632.8
179500,1634.1
179750,1634.1
180000,1635.4
180250,1636.7
180500,1636.7
180750,1638
181000,1639.3
181250,1639.3
181500,1640.5
181750,1641.8
182000,1643.1
182250,1644.4
182500,1644.4
182750,1645.7
183000,1647
183250,1648.3
183500,1649.6
183750,1649.6
184000,1650.9
184250,1652.2
184500,1652.2
184750,1653.5
185000,1654.8
185250,1656.1
185500,1657.3
185750,1657.3
186000,1658.6
186250,1659.9
186500,1661.2
186750,1662.5
187000,1662.5
187250,1663.8
187500,1665.1
187750,1666.4
188000,1667.7
188250,1667.7
188500,1669
188750,1670.3
189000,1671.6
189250,1672.9
189500,1672.9
189750,1674.1
190000,1676.7
190250,1676.7
190500,1678
190750,1679.3
191000,1680.6
191250,1681.9
191500,1681.9
191750,1684.5
192000,1684.5
192250,1685.8
192500,1687.1
192750,1687.1
193000,1689.7
193250,1689.7
193500,1690.9
193750,1690.9
194000,1692.2
194250,1693.5
194500,1694.8
194750,1696.1
195000,1696.1
195250,1697.4
195500,1698.7
195750,1698.7
196000,1700
196250,1701.3
196500,1702.6
196750,1703.9
197000,1703.9
197250,1705.2
197500,1706.5
197750,1707.7
198000,1709
198250,1709
198500,1710.3
198750,1711.6
199000,1712.9
199250,1714.2
199500,1715.5
199750,1716.8
200000,1718.1
200250,1719.4
200500,1720.7
200750,1722
201000,1723.3
201250,1724.5
201500,1725.8
201750,1725.8
202000,1728.4
202250,1728.4
202500,1731
202750,1731
203000,1733.6
203250,1733.6
203500,1736.2
203750,1736.2
204000,1737.5
204250,1738.8
204500,1740
204750,1741.3
205000,1742.6
205250,1743.9
205500,1743.9
205750,1746.5
206000,1746.5
206250,1747.8
206500,1749.1
206750,1750.4
207000,1751.7
207250,1751.7
207500,1754.3
207750,1754.3
208000,1756.8
208250,1756.8
208500,1758.1
208750,1759.4
209000,1760.7
209250,1762
209500,1763.3
209750,1764.6
210000,1764.6
210250,1767.2
210500,1768.5
210750,1768.5
211000,1769.8
211250,1771.1
211500,1772.4
211750,1773.6
212000,1774.9
212250,1776.2
212500,1777.5
212750,1778.8
213000,1780.1
213250,1781.4
213500,1782.7
213750,1784
214000,1785.3
214250,1786.6
214500,1786.6
214750,1787.9
215000,1789.2
215250,1790.4
215500,1791.7
215750,1793
216000,1794.3
216250,1796.9
216500,1798.2
216750,1799.5
217000,1800.8
217250,1802.1
217500,1804.7
217750,1806
218000,1807.2
218250,1809.8
218500,1811.1
218750,1812.4
219000,1815
219250,1816.3
219500,1817.6
219750,1820.2
220000,1821.5
220250,1822.8
220500,1825.3
220750,1826.6
221000,1829.2
221250,1830.5
221500,1831.8
221750,1834.4
222000,1835.7
222250,1837
222500,1838.3
222750,1840.8
223000,1842.1
223250,1843.4
223500,1846
223750,1847.3
224000,1848.6
224250,1849.9
224500,1852.5
224750,1853.8
225000,1855.1
225250,1856.4
225500,1858.9
225750,1860.2
226000,1861.5
226250,1862.8
226500,1864.1
226750,1866.7
227000,1868
227250,1869.3
227500,1870.6
227750,1871.9
228000,1873.2
228250,1874.4
228500,1875.7
228750,1877
229000,1878.3
229250,1879.6
229500,1880.9
229750,1882.2
