mass,todr
45500,951.9834953
45750,953.7305253
46000,955.4775554
46250,958.3278965
46500,958.3278965
46750,960.0749266
47000,961.6073836
47250,963.1398407
47500,964.0285788
47750,964.0285788
48000,965.3160167
48250,965.3160167
48500,967.3385121
48750,967.5530851
49000,968.3809308
49250,968.3809308
49500,971.445845
49750,972.978302
50000,974.5107591
50250,982.1730444
50500,988.3028727
50750,994.4327009
51000,999.0300721
51250,1005.1599
51500,1011.289729
51750,1017.419557
52000,1025.081842
52250,1031.21167
52500,1037.341499
52750,1045.003784
53000,1051.133612
53250,1055.730983
53500,1063.393269
53750,1071.055554
54000,1077.185382
54250,1083.315211
54500,1090.977496
54750,1098.639781
55000,1103.237152
55250,1109.427873
55500,1116.814693
55750,1125.151143
56000,1132.598856
56250,1139.617422
56500,1146.14595
56750,1155.340693
57000,1161.930113
57250,1170.236117
57500,1177.469257
57750,1187.522291
58000,1192.119662
58250,1199.781947
58500,1208.547544
58750,1215.106518
59000,1222.768803
59250,1231.074808
59500,1239.166239
59750,1245.725213
60000,1253.417945
60250,1261.08023
60500,1270.274972
60750,1279.469715
61000,1288.664457
61250,1296.326742
61500,1303.989028
61750,1311.651313
62000,1320.846055
62250,1330.040798
62500,1337.703083
62750,1348.430283
63000,1357.625025
63250,1365.28731
63500,1376.688675
63750,1385.209252
64000,1394.403995
64250,1403.598737
64500,1411.261022
64750,1423.520679
65000,1432.715421
65250,1443.442621
65500,1451.104906
65750,1461.832105
66000,1474.091762
66250,1484.205689
66500,1494.04415
66750,1502.809746
67000,1512.433635
67250,1522.915815
67500,1533.213868
67750,1545.443079
68000,1555.496113
68250,1566.867031
68500,1578.298842
68750,1589.026042
69000,1601.285698
69250,1613.545355
69500,1624.272554
69750,1633.467296
70000,1645.726953
70250,1657.986609
70500,1670.246266
70750,1680.973465
71000,1694.765579
71250,1703.960321
71500,1716.219978
71750,1726.947177
72000,1740.739291
72250,1752.998947
72500,1763.726147
72750,1775.985803
73000,1789.777917
73250,1802.037573
73500,1817.362144
73750,1825.024429
74000,1838.816543
74250,1852.149064
74500,1864.868313
74750,1880.192884
75000,1890.920083
75250,1904.712197
75500,1918.50431
75750,1930.763967
76000,1944.55608
76250,1956.815737
76500,1972.140308
76750,1984.399964
77000,1999.724535
77250,2011.984191
77500,2025.776305
77750,2038.035961
78000,2051.828075
78250,2065.620188
78500,2080.944759
78750,2096.085203
79000,2119.256186
79250,2140.710585
79500,2163.666994
79750,2177.489554
80000,2191.281668
80250,2205.073781
80500,2220.398352
80750,2234.190465
81000,2247.982579
81250,2263.30715
81500,2297.021205
81750,2329.202803
82000,2344.527374
82250,2358.319488
82500,2375.176515
82750,2389.67324
83000,2406.070676
83250,2422.468111
83500,2436.474798
83750,2452.443087
84000,2471.72131
84250,2487.045881
84500,2503.902909
84750,2540.681878
85000,2589.720504
85250,2640.291587
85500,2701.620316
85750,2761.355695
86000,2841.043463
86250,2925.328601
86500,2963.640028
86750,2983.56197
87000,3004.403096
87250,3023.865445
87500,3044.860252
87750,3065.640486
88000,3083.570378
