"","file_id","dataset_id","mip_era","activity_drs","institution_id","source_id","experiment_id","member_id","table_id","frequency","grid_label","version","nominal_resolution","variable_id","variable_long_name","variable_units","datetime_start","datetime_end","file_size","data_node","file_url","tracking_id"
"1","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_201501010600-202001010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,885908648,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_201501010600-202001010000.nc","hdl:21.14100/f89eb7a2-4eef-450a-90f7-e9410bacd68b"
"2","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202001010600-202501010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,886461631,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202001010600-202501010000.nc","hdl:21.14100/bc8762ee-0dcc-4bef-a8b8-d4fb70a94023"
"3","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202501010600-203001010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,885731430,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_202501010600-203001010000.nc","hdl:21.14100/ba2dbf1c-3e98-4434-9c18-7455fdde5154"
"4","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203001010600-203501010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,885799439,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203001010600-203501010000.nc","hdl:21.14100/2986410b-9877-4d06-9d9a-9e77e8080d76"
"5","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203501010600-204001010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,885810722,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_203501010600-204001010000.nc","hdl:21.14100/17453351-ac8d-4e3e-af8d-0e87099bb15f"
"6","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204001010600-204501010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,886215699,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204001010600-204501010000.nc","hdl:21.14100/56afd0e3-abd7-4fe6-86b0-7ef40d2e720f"
"7","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204501010600-205001010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,885845093,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_204501010600-205001010000.nc","hdl:21.14100/5edc0342-d67d-4d31-b5ae-5b40245166ad"
"8","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_205001010600-205501010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,885795562,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_205001010600-205501010000.nc","hdl:21.14100/e38916d2-df39-4686-b9f9-07c233d9c342"
"9","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_205501010600-206001010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,885811491,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_205501010600-206001010000.nc","hdl:21.14100/9fe5639b-0a56-4d0c-be7d-e377afd11a5e"
"10","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710.ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_206001010600-206501010000.nc|esgf3.dkrz.de","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126.r1i1p1f1.6hrLev.ps.gn.v20190710|esgf3.dkrz.de","CMIP6","ScenarioMIP","DKRZ","MPI-ESM1-2-HR","ssp126","r1i1p1f1","6hrLev","6hrPt","gn","1","100 km","ps","Surface Air Pressure","Pa",NA,NA,886234602,"esgf3.dkrz.de","http://esgf3.dkrz.de/thredds/fileServer/cmip6/ScenarioMIP/DKRZ/MPI-ESM1-2-HR/ssp126/r1i1p1f1/6hrLev/ps/gn/v20190710/ps_6hrLev_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_206001010600-206501010000.nc","hdl:21.14100/4c41980f-cb15-4aed-ad6b-9094d071cb91"
