"our.icao","iata.code","iata.traffic","our.name","our.lat","our.lon","lido.rwy","lido.len","lido.toda"
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW26R",9000,9000
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW26L",9999,9999
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW09R",9000,9000
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW27R",12390,12390
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW10",9000,9000
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW28",9000,9000
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW27L",9000,9000
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW08R",9999,10999
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW08L",9000,9000
"KATL","ATL",106893692,"Hartsfield Jackson Atlanta International Airport",33.6367,-84.428101,"RW09L",12390,12390
"ZBAA","PEK",102607733,"Beijing Capital International Airport",40.0801010131836,116.584999084473,"RW19",12467,12467
"ZBAA","PEK",102607733,"Beijing Capital International Airport",40.0801010131836,116.584999084473,"RW18R",10499,10499
"ZBAA","PEK",102607733,"Beijing Capital International Airport",40.0801010131836,116.584999084473,"RW36R",12467,13123
"ZBAA","PEK",102607733,"Beijing Capital International Airport",40.0801010131836,116.584999084473,"RW01",12467,14108
"ZBAA","PEK",102607733,"Beijing Capital International Airport",40.0801010131836,116.584999084473,"RW36L",10499,10499
"ZBAA","PEK",102607733,"Beijing Capital International Airport",40.0801010131836,116.584999084473,"RW18L",12467,13123
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW06R",10885,10285
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW25R",12923,12091
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW07R",11095,11095
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW24L",10885,10285
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW25L",11095,11095
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW07L",12923,12091
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW24R",8926,8926
"KLAX","LAX",85353489,"Los Angeles International Airport",33.942501,-118.407997,"RW06L",8926,8926
"OMDB","DXB",83885803,"Dubai International Airport",25.2527999878,55.3643989563,"RW12L",14275,13484
"OMDB","DXB",83885803,"Dubai International Airport",25.2527999878,55.3643989563,"RW30L",14590,14787
"OMDB","DXB",83885803,"Dubai International Airport",25.2527999878,55.3643989563,"RW12R",14590,14354
"OMDB","DXB",83885803,"Dubai International Airport",25.2527999878,55.3643989563,"RW30R",14275,14304
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW22L",8075,8075
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW09C",11245,11245
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW27R",7500,7500
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW10C",10800,10801
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW27L",7967,7967
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW09L",7500,7500
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW04R",8075,8075
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW27C",11245,11245
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW10L",13000,13000
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW28R",13000,13000
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW28L",7500,7500
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW09R",7967,7967
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW10R",7500,7500
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW28C",10800,10801
"KORD","ORD",82178586,"Chicago O'Hare International Airport",41.9786,-87.9048,"RW04L",7500,7500
"EGLL","LHR",79503185,"London Heathrow Airport",51.4706,-0.461941,"RW27L",12008,12001
"EGLL","LHR",79503185,"London Heathrow Airport",51.4706,-0.461941,"RW09R",12008,12001
"EGLL","LHR",79503185,"London Heathrow Airport",51.4706,-0.461941,"RW27R",12802,12992
"EGLL","LHR",79503185,"London Heathrow Airport",51.4706,-0.461941,"RW09L",12802,12799
"RJTT","HND",76258178,"Tokyo Haneda International Airport",35.552299,139.779999,"RW34R",11024,11024
"RJTT","HND",76258178,"Tokyo Haneda International Airport",35.552299,139.779999,"RW23",8202,8202
"RJTT","HND",76258178,"Tokyo Haneda International Airport",35.552299,139.779999,"RW22",8202,8202
"RJTT","HND",76258178,"Tokyo Haneda International Airport",35.552299,139.779999,"RW16L",11024,11024
"RJTT","HND",76258178,"Tokyo Haneda International Airport",35.552299,139.779999,"RW34L",9843,9843
"RJTT","HND",76258178,"Tokyo Haneda International Airport",35.552299,139.779999,"RW05",8202,8202
"RJTT","HND",76258178,"Tokyo Haneda International Airport",35.552299,139.779999,"RW16R",9843,9843
