year,ssp,zone,avg_tas,avg_hurs,avg_ps,avg_rho,avg_hdw,max_tas,min_rho,avg_tas_loess,avg_hurs_loess,avg_ps_loess,avg_rho_loess,avg_hdw_loess,max_tas_loess,min_rho_loess
2015,ssp126,Tropical,24.7140343511451,73.2693534351146,972.348782442748,1.1264623778626,2.41493825038168,48.924,0.786846,24.9983362586348,72.2797145321484,972.635147704338,1.12572769891012,2.48950049340822,47.2872165047267,0.784003737678074
2015,ssp245,Tropical,24.822320610687,72.5279187022901,972.385202290076,1.12615498854962,2.44504997480916,46.681,0.783444,25.0074299975364,72.2759832533856,972.572268102694,1.12560827932264,2.46365962171905,46.9569465984535,0.780820137429083
2015,ssp370,Tropical,24.8209885496183,73.038063740458,972.351309160305,1.12604814503817,2.43083310572519,46.905,0.78061,25.0360090987042,72.4325285049782,972.60943913372,1.12550999902177,2.45598693564252,47.3402718330642,0.782128663395348
2015,ssp585,Tropical,24.8428244274809,72.8254847328245,972.395141221374,1.12603632824427,2.42535292061069,47.462,0.788116,25.0451540547955,72.2443461429065,972.542686689935,1.12541776114316,2.44841237013782,47.619150311137,0.783028346677402
2016,ssp126,Tropical,24.9551183206107,72.58645,972.529572519084,1.12574126335878,2.44403880419847,46.947,0.778846,25.0291557066644,72.2626958979666,972.633212538664,1.12559335516461,2.48707744564089,47.3474145948957,0.783762297464914
2016,ssp245,Tropical,24.8397709923665,72.7785290076336,972.603259541984,1.12630791984733,2.50103293129771,46.27,0.779628,25.031911517967,72.2608385750264,972.571106115674,1.12550276734985,2.46534931338304,46.9952502657188,0.780960432940614
2016,ssp370,Tropical,24.8416412213741,72.6045683206107,972.652954198473,1.12636863740458,2.46929870458015,47.048,0.780888,25.0584231636151,72.406319941241,972.612629088554,1.12541991883642,2.45878763693489,47.3557908543591,0.78211998715492
2016,ssp585,Tropical,24.9452977099237,72.356965648855,972.529958015267,1.12581929770992,2.43264398473282,46.297,0.786833,25.0679026396972,72.2361691189628,972.554568609841,1.1253339555686,2.45264173848771,47.6433608977723,0.782900339760504
2017,ssp126,Tropical,25.0429541984733,72.182077480916,972.75256870229,1.12569058778626,2.50004218244275,48.012,0.783721,25.0592325813709,72.2459910790709,972.631390236513,1.1254623513534,2.48475029227401,47.4061477654868,0.783528842011794
2017,ssp245,Tropical,24.7687900763359,72.5942446564885,972.47824427481,1.12648036641221,2.46584287671756,46.106,0.782361,25.0562848023191,72.2458179233309,972.570151376299,1.12539794226269,2.46703558720526,47.0332477217623,0.781093867456079
2017,ssp370,Tropical,25.0714160305344,72.0707603053435,972.686767175573,1.12550629389313,2.45962301335878,46.547,0.778948,25.0810726874224,72.3808597054699,972.615856105402,1.12532874930428,2.46151811053586,47.3719795954201,0.782108600960348
2017,ssp585,Tropical,25.0274885496184,72.3086003816794,972.503480916031,1.12544083206107,2.45061345763359,47.875,0.783957,25.0910626697575,72.2278952042732,972.566187646629,1.12524805559224,2.45675671212781,47.6679991831728,0.782774675195229
2018,ssp126,Tropical,25.1078511450382,72.1488564885496,972.788297709924,1.12546111068702,2.4770603870229,46.1230000000001,0.786146,25.0885546761758,72.2296238095045,972.62968228855,1.12533473887492,2.4825189816899,47.4634692211429,0.783303512161843
2018,ssp245,Tropical,24.8970038167939,72.455206870229,972.557713740458,1.126028,2.46402703053435,46.028,0.780323,25.0805472637455,72.2309081388938,972.569420170071,1.12529383664849,2.4687219260673,47.0709221237066,0.781220350732273
2018,ssp370,Tropical,25.5110229007634,70.9592240458015,973.040709923664,1.12418010305344,2.49262832824427,47.478,0.77929,25.1039516767048,72.3561972710298,972.619123795614,1.12523651293947,2.46417716506483,47.3888338769578,0.782093821566997
2018,ssp585,Tropical,25.0320343511451,71.8536965648855,972.713095419848,1.12573836641221,2.47513113435115,48.44,0.783532,25.114612200123,72.219566391952,972.57752516454,1.12516012799448,2.46075188665691,47.6930755758681,0.782651872792281
2019,ssp126,Tropical,25.2757022900764,71.7420503816794,972.804496183206,1.12479929770992,2.54150861259542,47.693,0.785945,25.1171097845004,72.2136178233107,972.628090185437,1.12521056912763,2.48038346227087,47.5194321665071,0.783086448758195
2019,ssp245,Tropical,25.4648396946565,71.2083503816794,972.684171755725,1.12391545419847,2.48804166832061,47.396,0.782473,25.104696315399,72.21609606231,972.568928782492,1.12519048309455,2.47041181285076,47.1082566286741,0.781339792525992
2019,ssp370,Tropical,25.8098473282443,71.9880641221374,972.645198473283,1.12225843129771,2.46208517519084,48.446,0.779268,25.1270541380406,72.3323821112858,972.622435770539,1.12514323225607,2.46676360914118,47.4063495196829,0.782074965730235
2019,ssp585,Tropical,25.3825190839695,71.9548473282443,972.905625954199,1.12442908015267,2.49211147709924,48.139,0.777541,25.1385292859407,72.2112246751134,972.58856252782,1.12507023955576,2.46462185767384,47.7186004843879,0.78253245236237
2020,ssp126,Tropical,25.1369465648855,71.536822519084,972.689896946565,1.12528375572519,2.51618318206107,47.21,0.787225,25.1448856997663,72.1979968545326,972.626615417839,1.12508989350996,2.47834368239924,47.5740898062222,0.782877792643982
2020,ssp245,Tropical,25.423072519084,71.3896717557253,972.826778625954,1.1242403740458,2.51124014885496,50.048,0.775362,25.1287293704323,72.2013685341743,972.568693499061,1.12508791418821,2.47210873043723,47.1452343937874,0.781452102594034
2020,ssp370,Tropical,25.0509541984733,72.9325347328244,972.502141221375,1.12523204961832,2.46053718396947,47.162,0.782897,25.1503740780083,72.3094636996028,972.625795641525,1.12504892976818,2.46927625138429,47.4245223443059,0.782051350205428
2020,ssp585,Tropical,25.2515839694657,72.4614202290077,972.30801908397,1.12420635114504,2.44816575305344,49.091,0.783051,25.1627919823573,72.2029120468718,972.599281100711,1.12497845705651,2.46836122077739,47.7445843172617,0.782416933716199
2015,ssp126,Temperate,12.4036320939335,71.4613733855186,971.119389432485,1.1810990704501,2.89197527201565,53.544,0.815049,12.4913727334561,72.1469715745081,970.865137432497,1.18038119340855,2.85031872954938,54.4352880945928,0.812826464914235
2015,ssp245,Temperate,12.1670391389433,72.6157283757339,970.448166340508,1.18134021526419,2.89004067318983,53.201,0.80868,12.2505103224068,72.7967041364811,970.915830367729,1.18150446651973,2.85785416733486,53.6522606927799,0.815072269289012
2015,ssp370,Temperate,12.2560606653621,72.8735348336595,970.97868297456,1.18160564187867,2.84998901369863,53.914,0.815036,12.3703939567656,72.7690336034121,970.653505728071,1.18063621169926,2.85099282231259,53.8144278191566,0.814420273321383
2015,ssp585,Temperate,12.2339980430529,72.8139315068493,971.531549902152,1.1823538590998,2.79799126810176,53.143,0.810163,12.2167134075916,72.801816188762,970.8467094351,1.18159787312898,2.83476192700536,54.363163826753,0.811807336500177
2016,ssp126,Temperate,12.9464403131116,71.2793612524462,970.817677103718,1.17836943248532,2.8381166927593,55.053,0.800249,12.4975824675573,72.1519955515449,970.87153326155,1.18036481336001,2.84721761112773,54.4342148981702,0.812948908630169
2016,ssp245,Temperate,12.0628590998043,72.6422416829746,971.40024853229,1.18306691585127,2.84846726418787,53.013,0.816336,12.2756572792595,72.7281170380671,970.918942356153,1.18140080660368,2.85749406528809,53.7241448166925,0.815018705961613
2016,ssp370,Temperate,12.4337123287671,72.5167974559687,970.784489236791,1.18050886497065,2.82411916438356,52.96,0.820035,12.3759193645263,72.7413978017398,970.673759290343,1.18063742442058,2.85140601190398,53.8685924992426,0.814372953280626
2016,ssp585,Temperate,11.9695381604697,73.7467481409003,971.19448336595,1.18308681409002,2.82563454011742,55.399,0.807048,12.2333077598406,72.7674738670042,970.852582507117,1.18152848184513,2.83755815514711,54.3242011043204,0.811931650522823
2017,ssp126,Temperate,12.3983776908024,72.3944090019569,970.413455968688,1.18030520156556,2.84566503131115,54.505,0.813635,12.5039360262785,72.1565578239487,970.877809688573,1.18034752130237,2.84418540519915,54.4333908897694,0.813065355304874
2017,ssp245,Temperate,12.0663072407045,72.7777260273972,970.665080234835,1.18202932289628,2.87079746183953,54.694,0.818452,12.3006254368641,72.6609865124333,970.922253029163,1.18129814034942,2.85716000398259,53.7941432254898,0.814963709320314
2017,ssp370,Temperate,12.3959412915851,72.849582778865,970.263418786693,1.17993133855186,2.87652730724071,54.084,0.810063,12.3825284007216,72.7136580743769,970.693627722449,1.18063344053833,2.8517742343143,53.9225705298077,0.814323168563776
2017,ssp585,Temperate,12.2837240704501,72.3483557729941,971.494802348337,1.18212511937378,2.77151088258317,54.6470000000001,0.817345,12.2508048111007,72.7329564546767,970.85839649538,1.18145528400422,2.84025568013392,54.2889550884673,0.812048474758419
2015,ssp126,Subtropical,21.3115,64.7012886792453,962.699613207547,1.13127040566038,2.64481578301887,49.7720000000001,0.678939,21.3414238449849,64.417921043216,962.802643639739,1.13138454838469,2.63187579386955,50.0326623598989,0.675910932968155
2015,ssp245,Subtropical,21.420679245283,63.8886283018868,962.662047169811,1.13093262264151,2.66652985849056,49.681,0.680943,21.3051013026696,64.744894012345,962.628166697279,1.13126450426144,2.64886633413329,49.8627767168261,0.678484844576729
2015,ssp370,Subtropical,21.2347830188679,65.1176235849057,962.612547169811,1.13150745283019,2.64218741509434,50.863,0.675495,21.3061338173846,65.012634962766,962.636987199206,1.13125097775768,2.61919461901898,50.415244711181,0.67658319186744
2015,ssp585,Subtropical,21.1480471698113,64.5715235849057,962.503018867925,1.13183517924528,2.66220370754717,49.905,0.683917,21.374690249896,64.2546257011972,962.551187887104,1.13094279420541,2.64418533715097,50.7613028519546,0.678055985807898
2016,ssp126,Subtropical,21.5471603773585,63.9624009433962,962.792358490566,1.13047628301887,2.59134871698113,51.151,0.675779,21.3712878187865,64.3946945685297,962.792922102731,1.13124639646066,2.63238222718263,50.0921124692098,0.67605293317696
