year,ssp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max_no_rm,tko_ok_thr_max_rm,tko_ok_thr_max,tko_ok,tko_ko,tko,itr_avg,tko_ok_thr_min_rel,tko_ok_thr_mid_rel,tko_ok_thr_max_no_rm_rel,tko_ok_thr_max_rm_rel,tko_ok_thr_max_rel,tko_ok_rel,tko_ko_rel,tko_rel,tko_ok_thr_min_rel_loess,tko_ok_thr_mid_rel_loess,tko_ok_thr_max_no_rm_rel_loess,tko_ok_thr_max_rm_rel_loess,tko_ok_thr_max_rel_loess,tko_ok_rel_loess,tko_ko_rel_loess,tko_rel_loess
2015,ssp126,Temperate,Narrowbody,38183822,547098,610452,70538,360326,430864,1588414,211992,1800406,21.2084513047002,0.30387479268565,0.33906352233885,0.0391789407500309,0.200135969331362,0.239314910081393,0.882253225105893,0.117746774894107,1,0.30320245478567,0.339168855331471,0.0384809115296811,0.200368793499454,0.238849705029135,0.881221015146276,0.118778984853725,1
2015,ssp126,Temperate,Widebody,89022110,20170,846952,98596,220254,318850,1185972,614434,1800406,49.445574854133,0.0112030286502045,0.470422782416855,0.0547632034107862,0.122335739827572,0.177098943238358,0.658724754305418,0.341275245694582,1,0.0109268345916612,0.470221404912614,0.0536285701907785,0.122388198018926,0.176016768209705,0.65716500771398,0.342834992286021,1
2015,ssp245,Temperate,Narrowbody,38220170,547404,610742,70841,358853,429694,1587840,212566,1800406,21.2286385089141,0.304044754349852,0.33922459711865,0.0393472361234078,0.199317820536034,0.238665056659442,0.881934408127945,0.118065591872056,1,0.303653986682483,0.339111528515977,0.038988277634726,0.199973497591934,0.23896177522666,0.88172729042512,0.118272709574881,1
2015,ssp245,Temperate,Widebody,89068597,19817,848374,98242,219598,317840,1186031,614375,1800406,49.4713952917342,0.011006961763069,0.471212604268149,0.0545665810933757,0.12197137756706,0.176537958660435,0.658757524691652,0.341242475308347,1,0.0111591551960751,0.470378786421898,0.0543313620826566,0.122167086288085,0.176498448370742,0.658036389988714,0.341963610011287,1
2015,ssp370,Temperate,Narrowbody,38265363,547243,609429,70534,360305,430839,1587511,212895,1800406,21.253741069692,0.303955330075549,0.33849531716735,0.0391767190289302,0.200124305295583,0.239301024324513,0.881751671567413,0.118248328432587,1,0.303170943315062,0.339164870746129,0.0386142835661436,0.200457841687472,0.239072125253615,0.881407939314806,0.118592060685195,1
2015,ssp370,Temperate,Widebody,89148808,20992,846614,97717,220456,318173,1185779,614627,1800406,49.5159457779579,0.0116595923363952,0.470235046983847,0.0542749801989108,0.122447936743156,0.176722916942067,0.658617556262309,0.34138244373769,1,0.0110877731580886,0.469925563786547,0.053740597301813,0.122332482266979,0.176073079568792,0.657086416513427,0.342913583486574,1
2015,ssp585,Temperate,Narrowbody,38304661,546824,609969,70514,360371,430885,1587678,212728,1800406,21.2755677147488,0.303722604790253,0.338795249515942,0.0391656104234268,0.200160963693744,0.239326574117171,0.881844428423366,0.118155571576633,1,0.303472647068967,0.339211125937818,0.0386960458570312,0.200024803254425,0.238720849111456,0.881404622118241,0.11859537788176,1
2015,ssp585,Temperate,Widebody,89287897,20838,844458,99194,218862,318056,1183352,617054,1800406,49.5931986871961,0.0115740560740189,0.469037539310578,0.0550953507153386,0.121562580884534,0.176657931599872,0.657269526984469,0.342730473015531,1,0.0113852990606935,0.470025986156653,0.0539329975055571,0.122018220464483,0.175951217970041,0.657362503187387,0.342637496812615,1
2016,ssp126,Temperate,Narrowbody,38821529,545202,613379,67747,363317,431064,1589645,216931,1806576,21.4890095299838,0.301787469777081,0.339525710515362,0.0375002214133256,0.201108062987663,0.238608284400988,0.879921464693431,0.120078535306569,1,0.303146838223104,0.339189786672134,0.0384549291727569,0.200374414719996,0.238829343892753,0.88116596878799,0.11883403121201,1
2016,ssp126,Temperate,Widebody,90467970,19543,845899,94091,221617,315708,1181150,625426,1806576,50.0770374959481,0.0108177015525502,0.468233276651522,0.0520825030333626,0.122672392415265,0.174754895448628,0.6538058736527,0.3461941263473,1,0.0109171373738733,0.470154547264395,0.0536046039124522,0.122383566791656,0.175988170704108,0.657059855342376,0.342940144657625,1
2016,ssp245,Temperate,Narrowbody,38281576,549998,611423,71723,360066,431789,1593210,213366,1806576,21.1901280470016,0.3044422155503,0.338442999353474,0.039701069869189,0.19930852618434,0.239009596053529,0.881894810957303,0.118105189042697,1,0.303605436387955,0.339120470587819,0.0389497452340699,0.199995032179466,0.238944777413535,0.88167068438931,0.118329315610691,1
2016,ssp245,Temperate,Widebody,89147011,21307,848964,100561,220438,320999,1191270,615306,1806576,49.345840032415,0.0117941343181798,0.46992985625847,0.0556638635739654,0.122019776638237,0.177683640212203,0.659407630788852,0.340592369211149,1,0.0111494392914134,0.470314957887313,0.0542944569539262,0.122182441629329,0.176476898583255,0.657941295761981,0.34205870423802,1
2016,ssp370,Temperate,Narrowbody,38537490,547093,613354,69210,362840,432050,1592497,214079,1806576,21.3317845137763,0.302834201273569,0.339511872182516,0.0383100406514866,0.200844027596957,0.239154068248444,0.881500141704528,0.118499858295472,1,0.303183397829497,0.339150927376807,0.0386344105750361,0.200451660660853,0.239086071235889,0.881420396442193,0.118579603557808,1
2016,ssp370,Temperate,Widebody,89856709,19755,848704,96864,221265,318129,1186588,619988,1806576,49.7386810048622,0.0109350506150862,0.469785937596868,0.0536174509126658,0.12247754868879,0.176094999601456,0.65681598781341,0.34318401218659,1,0.0110744567840544,0.469920481203096,0.0537858330016953,0.122337281099556,0.176123114101252,0.657118052088403,0.342881947911599,1
2016,ssp585,Temperate,Narrowbody,38341869,550047,611739,70266,361245,431511,1593297,213279,1806576,21.2235022285251,0.304469338682679,0.33861791588065,0.0388945718309111,0.199961141961368,0.238855713792279,0.881942968355608,0.118057031644392,1,0.303471196829633,0.339210875871575,0.0387108851093319,0.200025669310315,0.238736554419647,0.881418627120856,0.118581372879146,1
2016,ssp585,Temperate,Widebody,89269656,21524,849878,98369,220909,319278,1190680,615896,1806576,49.4137290842788,0.011914251047285,0.470435785707327,0.0544505185500084,0.12228049082906,0.176731009379069,0.65908104613368,0.340918953866319,1,0.0113579773987228,0.47004215040914,0.0539516488535238,0.122033851761327,0.175985500614851,0.657385628422713,0.342614371577288,1
2017,ssp126,Temperate,Narrowbody,38453349,545401,611157,69821,360783,430604,1587162,214478,1801640,21.3435263047002,0.302724739681623,0.339222597189227,0.0387541351213339,0.200252547678781,0.239006682800116,0.880954019670967,0.119045980329034,1,0.303091888158085,0.339210324901612,0.0384292916657909,0.200380633137775,0.238809924803566,0.881112137863263,0.118887862136738,1
2017,ssp126,Temperate,Widebody,89581191,19205,846115,97688,219177,316865,1182185,619455,1801640,49.7220306482983,0.0106597322439555,0.469635998312648,0.054221709109478,0.121654159543527,0.175875868653005,0.65617159920961,0.343828400790391,1,0.0109074973967047,0.470088620729553,0.0535805745324818,0.122379524418082,0.175960098950564,0.656956217076822,0.343043782923179,1
2017,ssp245,Temperate,Narrowbody,38291640,547099,611188,69852,360747,430599,1588886,212754,1801640,21.2537684035657,0.303667214315846,0.339239803734375,0.0387713416664817,0.200232565884416,0.239003907550898,0.881910925601119,0.118089074398881,1,0.303557349826691,0.339129287855225,0.0389119206584965,0.200016513691262,0.238928434349758,0.881615072031675,0.118384927968326,1
2017,ssp245,Temperate,Widebody,89235404,20485,847001,97970,220140,318110,1185596,616044,1801640,49.5300990032415,0.0113701960436047,0.470127772473968,0.0543782331653382,0.122188672542794,0.176566905708133,0.658064874225706,0.341935125774295,1,0.0111398352956392,0.470251673072145,0.0542580684186546,0.122197677274838,0.176455745693493,0.657847254061276,0.342152745938724,1
2017,ssp370,Temperate,Narrowbody,38411417,546175,610685,69684,361501,431185,1588045,213595,1801640,21.3202513614263,0.303154348260474,0.338960613663107,0.0386780932927777,0.200651073466397,0.239329166759175,0.881444128682755,0.118555871317244,1,0.303192453926432,0.339137803392821,0.0386523188599094,0.200447785778644,0.239100104638554,0.881430361957807,0.118569638042194,1
2017,ssp370,Temperate,Widebody,89526275,18896,847833,96760,220133,316893,1183622,618018,1801640,49.6915449675851,0.0104882218423214,0.47058957394374,0.0537066228547324,0.12218478719389,0.175891410048622,0.656969205834685,0.343030794165316,1,0.0110607462346435,0.469912211967285,0.0538273944368408,0.122342942466285,0.176170336903126,0.657143295105055,0.342856704894946,1
2017,ssp585,Temperate,Narrowbody,38396049,546016,612226,69234,359923,429157,1587399,214241,1801640,21.3117205429497,0.303066095335361,0.339815945471904,0.0384283208632135,0.199775204813392,0.238203525676606,0.88108556648387,0.11891443351613,1,0.303466503934453,0.339210897785957,0.0387236346658963,0.200028346405487,0.238751981071384,0.881429382791793,0.118570617208208,1
2017,ssp585,Temperate,Widebody,89479032,20164,847566,95954,219977,315931,1183661,617979,1801640,49.6653219854133,0.0111920250438489,0.470441375635532,0.0532592526808907,0.122098199418308,0.175357452099199,0.656990852778579,0.343009147221421,1,0.0113305978836345,0.470053572335748,0.0539677463164929,0.122049832316658,0.176017578633151,0.657401748852533,0.342598251147468,1
2018,ssp126,Temperate,Narrowbody,38278674,547893,610027,69373,361031,430404,1588324,213316,1801640,21.2465712155592,0.304107923891566,0.3385953908661,0.0385054727914567,0.200390200039964,0.23889567283142,0.881598987589085,0.118401012410914,1,0.303037510625812,0.339230487301219,0.0384039793478209,0.200387544777553,0.238791524125374,0.881059522052405,0.118940477947596,1
2018,ssp126,Temperate,Widebody,89156983,19861,847484,98250,221480,319730,1187075,614565,1801640,49.4865706077795,0.0110238449412757,0.470395861548368,0.0545336471215115,0.122932439333052,0.177466086454564,0.658885792944207,0.341114207055794,1,0.0108978912487511,0.470023490928579,0.0535564396769789,0.122376132027259,0.175932571704238,0.656853953881568,0.343146046118432,1
2018,ssp245,Temperate,Narrowbody,38369746,546644,610818,69234,361220,430454,1587916,213724,1801640,21.297121993517,0.303414666637064,0.339034435292289,0.0384283208632135,0.200495104460381,0.238923425323594,0.881372527252947,0.118627472747053,1,0.303509791350867,0.339137970918367,0.0388748680777487,0.200037927038087,0.238912795115836,0.88156055738507,0.11843944261493,1
