itr_avg,year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
20.2012212035225,2015,ssp126,Temperate,Narrowbody,30122001,509380,427396,342265,1279041,212057,
41.5617773776908,2015,ssp126,Temperate,Widebody,61972690,76233,652535,325283,1054051,437047,
20.1383209099805,2015,ssp245,Temperate,Narrowbody,30028211,510973,425863,342850,1279686,211412,
41.4241659589042,2015,ssp245,Temperate,Widebody,61767492,76856,651321,327723,1055900,435198,
20.1653251076321,2015,ssp370,Temperate,Narrowbody,30068475,510320,426357,342726,1279403,211695,
41.4651051272015,2015,ssp370,Temperate,Widebody,61828532,76298,652143,326758,1055199,435899,
20.1897136692759,2015,ssp585,Temperate,Narrowbody,30104841,509801,426373,343219,1279393,211705,
41.5093038062622,2015,ssp585,Temperate,Widebody,61894436,75790,652041,326860,1054691,436407,
20.2027432485323,2016,ssp126,Temperate,Narrowbody,30227506,511386,428241,343754,1283381,212827,
41.5606405577299,2016,ssp126,Temperate,Widebody,62183369,76704,653481,327307,1057492,438716,
20.1487178473581,2016,ssp245,Temperate,Narrowbody,30146672,512470,427708,344093,1284271,211937,
41.4126037279844,2016,ssp245,Temperate,Widebody,61961864,75614,655400,328481,1059495,436713,
20.1307195596869,2016,ssp370,Temperate,Narrowbody,30119743,512998,426596,344962,1284556,211652,
41.4240865068494,2016,ssp370,Temperate,Widebody,61979042,77642,653196,328781,1059619,436589,
20.2747368297456,2016,ssp585,Temperate,Narrowbody,30335224,509916,429672,343136,1282724,213484,
41.7603907632094,2016,ssp585,Temperate,Widebody,62482228,74577,655770,325319,1055666,440542,
20.2427253424658,2017,ssp126,Temperate,Narrowbody,30204574,508591,429658,341810,1280059,212061,
41.6723020254403,2017,ssp126,Temperate,Widebody,62180070,72686,655757,325499,1053942,438178,
20.2356609197652,2017,ssp245,Temperate,Narrowbody,30194034,510233,427398,341891,1279522,212598,
41.6083514872799,2017,ssp245,Temperate,Widebody,62084651,74833,654194,325878,1054905,437215,
20.4168245107632,2017,ssp370,Temperate,Narrowbody,30464351,505086,431302,342249,1278637,213483,
42.0802272407045,2017,ssp370,Temperate,Widebody,62788745,69049,657251,323771,1050071,442049,
20.252882964775,2017,ssp585,Temperate,Narrowbody,30219732,509050,428746,341798,1279594,212526,
41.6246911252446,2017,ssp585,Temperate,Widebody,62109036,73043,655865,325927,1054835,437285,
20.2504837377691,2018,ssp126,Temperate,Narrowbody,30216153,509176,428499,341639,1279314,212806,
41.6240334637965,2018,ssp126,Temperate,Widebody,62108054,73031,656257,325310,1054598,437522,
20.3687178375734,2018,ssp245,Temperate,Narrowbody,30392570,505800,431903,341466,1279169,212951,
41.985904373777,2018,ssp245,Temperate,Widebody,62648007,69912,658677,322277,1050866,441254,
20.3973252152642,2018,ssp370,Temperate,Narrowbody,30435258,505636,431502,341058,1278196,213924,
42.0052762818004,2018,ssp370,Temperate,Widebody,62676913,70229,657282,322778,1050289,441831,
20.3372651956947,2018,ssp585,Temperate,Narrowbody,30345638,506271,430804,341942,1279017,213103,
41.8812109099804,2018,ssp585,Temperate,Widebody,62491792,70711,657050,323642,1051403,440717,
20.1606111350294,2019,ssp126,Temperate,Narrowbody,30082051,510220,428323,343019,1281562,210558,
41.5453305968689,2019,ssp126,Temperate,Widebody,61990612,74985,655101,326280,1056366,435754,
20.3623885322896,2019,ssp245,Temperate,Narrowbody,30383127,506998,429859,341730,1278587,213533,
41.8996661154599,2019,ssp245,Temperate,Widebody,62519329,71486,655741,324451,1051678,440442,
20.2668511350294,2019,ssp370,Temperate,Narrowbody,30240575,508998,428178,341905,1279081,213039,
41.6612212720157,2019,ssp370,Temperate,Widebody,62163531,74986,653510,324771,1053267,438853,
20.1706514872798,2019,ssp585,Temperate,Narrowbody,30097033,510474,428242,341654,1280370,211750,
41.4482418884541,2019,ssp585,Temperate,Widebody,61845749,74305,655459,326802,1056566,435554,
20.1910238943249,2020,ssp126,Temperate,Narrowbody,30209971,511831,428498,343791,1284120,212088,
41.4900533855186,2020,ssp126,Temperate,Widebody,62077750,74180,656217,328714,1059111,437097,
20.1414609980431,2020,ssp245,Temperate,Narrowbody,30135815,512705,427377,343731,1283813,212395,
41.3621816927593,2020,ssp245,Temperate,Widebody,61886421,76417,654158,329397,1059972,436236,
20.234550518591,2020,ssp370,Temperate,Narrowbody,30275098,510689,429446,342867,1283002,213206,
41.570431927593,2020,ssp370,Temperate,Widebody,62198011,74438,656162,326997,1057597,438611,
20.1289731409002,2020,ssp585,Temperate,Narrowbody,30117130,512678,427188,344370,1284236,211972,
41.3995436888454,2020,ssp585,Temperate,Widebody,61942326,76107,653608,329806,1059521,436687,
20.112919853229,2021,ssp126,Temperate,Narrowbody,30010890,511482,426012,343475,1280969,211151,
