variable,zone,ssp126_abs,ssp245_abs,ssp370_abs,ssp585_abs,ssp126_rel,ssp245_rel,ssp370_rel,ssp585_rel
max_tas,Global,0.2,2,4.7,5.5,0.3,3.8,8.7,10.1
max_tas,Temperate,0.2,2,4.7,5.5,0.3,3.8,8.7,10.1
max_tas,Tropical,0.7,3.1,3.2,3.7,1.5,6.6,6.8,7.7
avg_tas,Global,0.3,1.6,3.1,4.1,1.8,9.4,17.9,23.7
avg_tas,Temperate,0.3,1.7,3.2,4.4,1.9,12.2,23,31.7
avg_tas,Tropical,0.4,1.4,2.8,3.4,1.6,5.7,11.2,13.4
min_tas,Global,-0.5,0.5,9.2,11.6,1.1,-1.2,-20.9,-26.3
min_tas,Temperate,-0.5,0.5,9.2,11.6,1.1,-1.2,-20.9,-26.3
min_tas,Tropical,0.2,1.8,5.2,5.7,-5.3,-42.3,-99.3,-109.4
max_ps,Global,0.3,-2.8,0.4,3.6,0,-0.3,0,0.3
max_ps,Temperate,0.3,-2.8,0.4,3.6,0,-0.3,0,0.3
max_ps,Tropical,-0.6,0.1,1.7,2.4,-0.1,0,0.2,0.2
avg_ps,Global,0,0.4,0.5,0.6,0,0,0.1,0.1
avg_ps,Temperate,0,0.4,0.6,0.6,0,0,0.1,0.1
avg_ps,Tropical,-0.1,0.2,0.5,0.6,0,0,0,0.1
min_ps,Global,-1,2.9,4.7,5.9,-0.2,0.5,0.9,1.1
min_ps,Temperate,-1,2.9,4.7,5.9,-0.2,0.5,0.9,1.1
min_ps,Tropical,0.3,1.9,3,3.9,0.1,0.3,0.5,0.6
max_hurs,Global,0,0,0,0,0,0,0,0
max_hurs,Temperate,0,0,0,0,0,0,0,0
max_hurs,Tropical,0,0,0,0,0,0,0,0
avg_hurs,Global,-0.1,-1.5,-2.1,-3.2,-0.2,-2.1,-3,-4.4
avg_hurs,Temperate,-0.1,-2,-2.5,-4,-0.2,-2.8,-3.6,-5.6
avg_hurs,Tropical,-0.1,-0.5,-1.1,-1.1,-0.1,-0.7,-1.6,-1.6
min_hurs,Global,0,0,0,0,0,0,0,0
min_hurs,Temperate,0,0,0,0,0,0,0,0
min_hurs,Tropical,0,0,0,0,0,0,0,0
max_rho,Global,-1.5,-7.2,-61.5,-64,-0.1,-0.5,-4,-4.2
max_rho,Temperate,-1.5,-7.2,-61.5,-64,-0.1,-0.5,-4,-4.2
max_rho,Tropical,-4.3,-11.3,-14.2,-19.8,-0.3,-0.9,-1.1,-1.5
avg_rho,Global,-1.4,-6.5,-12.6,-16.8,-0.1,-0.6,-1.1,-1.4
avg_rho,Temperate,-1.2,-6.8,-13.1,-18.1,-0.1,-0.6,-1.1,-1.5
avg_rho,Tropical,-1.8,-5.9,-11.4,-13.8,-0.2,-0.5,-1,-1.2
min_rho,Global,-0.3,-4.3,-3.7,-5.9,-0.1,-0.6,-0.6,-0.9
min_rho,Temperate,-0.3,-4.3,-3.7,-5.9,-0.1,-0.6,-0.6,-0.9
min_rho,Tropical,-0.9,-2.2,-6.5,-8.7,-0.1,-0.3,-0.8,-1.1
max_hdw,Global,1.6,0.4,0.5,2.5,6.8,1.6,1.9,10.7
max_hdw,Temperate,1.6,0.4,0.5,2.5,6.8,1.6,1.9,10.7
max_hdw,Tropical,-0.1,-0.3,-0.5,-0.6,-0.5,-2,-2.9,-3.7
avg_hdw,Global,0,0,0,0,-0.9,-0.1,-1.4,0.6
avg_hdw,Temperate,0,0,-0.1,0,-0.6,-1.7,-3.1,-0.1
avg_hdw,Tropical,0,0.1,0.1,0.1,-1.7,4,3.2,2.6
min_hdw,Global,-0.7,-0.2,-0.2,-0.5,7.1,2.2,1.8,5.2
min_hdw,Temperate,-1.3,-0.6,-0.1,0.3,13.2,6.1,0.6,-3
min_hdw,Tropical,-0.3,-0.3,-0.5,-1.2,3.2,2.9,5.2,12.8
