year,icao,zone,lat,lon,variable,ssp126,ssp245,ssp370,ssp585
2100,AYPY,Tropical,-9.44338,147.22,max_tas_loe,0.3,0.4,1.4,1.8
2100,AYPY,Tropical,-9.44338,147.22,max_ps_loe,0.2,0.9,0.2,0.8
2100,AYPY,Tropical,-9.44338,147.22,max_hurs_loe,0.8,-1,-0.6,-0.7
2100,AYPY,Tropical,-9.44338,147.22,max_rho_loe,-1.4,-6.9,-7.4,-11.6
2100,AYPY,Tropical,-9.44338,147.22,max_hdw_loe,0.9,-0.2,-0.4,-0.5
2100,AYPY,Tropical,-9.44338,147.22,avg_tas_loe,0.4,1,2.1,2.7
2100,AYPY,Tropical,-9.44338,147.22,avg_ps_loe,0,0.3,0.7,1
2100,AYPY,Tropical,-9.44338,147.22,avg_hurs_loe,0.3,0.2,0.4,-0.2
2100,AYPY,Tropical,-9.44338,147.22,avg_rho_loe,-1.7,-4.2,-8.4,-11
2100,AYPY,Tropical,-9.44338,147.22,avg_hdw_loe,0.2,0.2,0.3,0.2
2100,AYPY,Tropical,-9.44338,147.22,min_tas_loe,0.6,1.5,1.6,2.7
2100,AYPY,Tropical,-9.44338,147.22,min_ps_loe,-0.4,0.7,0.6,0.3
2100,AYPY,Tropical,-9.44338,147.22,min_hurs_loe,-0.3,-2,3.5,5.1
2100,AYPY,Tropical,-9.44338,147.22,min_rho_loe,-2,-2.7,-6.8,-9.4
2100,AYPY,Tropical,-9.44338,147.22,min_hdw_loe,0,0,0,0
2100,BIKF,Temperate,63.985,-22.6056,max_tas_loe,-0.1,1.3,1.4,1.1
2100,BIKF,Temperate,63.985,-22.6056,max_ps_loe,3.8,0.7,0.8,-1.3
2100,BIKF,Temperate,63.985,-22.6056,max_hurs_loe,0,0,0,0
2100,BIKF,Temperate,63.985,-22.6056,max_rho_loe,-2.8,-27.5,-35.2,-49.6
2100,BIKF,Temperate,63.985,-22.6056,max_hdw_loe,-2.2,-0.4,-1,-2.2
2100,BIKF,Temperate,63.985,-22.6056,avg_tas_loe,0.5,0.7,1.7,2
2100,BIKF,Temperate,63.985,-22.6056,avg_ps_loe,1.7,0,0.9,-3.8
2100,BIKF,Temperate,63.985,-22.6056,avg_hurs_loe,0.6,-1,-0.3,-0.1
2100,BIKF,Temperate,63.985,-22.6056,avg_rho_loe,-0.4,-3.4,-7,-14.4
2100,BIKF,Temperate,63.985,-22.6056,avg_hdw_loe,-0.3,-0.2,-0.2,-0.2
2100,BIKF,Temperate,63.985,-22.6056,min_tas_loe,1.1,5.5,4.7,8.6
2100,BIKF,Temperate,63.985,-22.6056,min_ps_loe,1.1,1.4,0.7,-3.7
2100,BIKF,Temperate,63.985,-22.6056,min_hurs_loe,-1.8,-4.5,-1.2,8.4
2100,BIKF,Temperate,63.985,-22.6056,min_rho_loe,-1,0.2,-4.3,-1.1
2100,BIKF,Temperate,63.985,-22.6056,min_hdw_loe,0,-0.1,-0.1,0
2100,BKPR,Temperate,42.5728,21.0358,max_tas_loe,0,3.9,3.9,9.4
2100,BKPR,Temperate,42.5728,21.0358,max_ps_loe,1.2,1.1,1.4,6.2
2100,BKPR,Temperate,42.5728,21.0358,max_hurs_loe,0,0,0,0
2100,BKPR,Temperate,42.5728,21.0358,max_rho_loe,-3.8,-7.1,-14,-20.7
2100,BKPR,Temperate,42.5728,21.0358,max_hdw_loe,1.1,-0.2,0.8,0.8
2100,BKPR,Temperate,42.5728,21.0358,avg_tas_loe,-0.4,2.4,3.7,5
2100,BKPR,Temperate,42.5728,21.0358,avg_ps_loe,-0.6,1.2,1.6,2.1
2100,BKPR,Temperate,42.5728,21.0358,avg_hurs_loe,1.5,-7.3,-6.3,-8.6
2100,BKPR,Temperate,42.5728,21.0358,avg_rho_loe,0.9,-7.9,-12.6,-17.1
2100,BKPR,Temperate,42.5728,21.0358,avg_hdw_loe,0,0,0,-0.1
2100,BKPR,Temperate,42.5728,21.0358,min_tas_loe,1.4,1.4,4.1,6.3
2100,BKPR,Temperate,42.5728,21.0358,min_ps_loe,-1,-2.1,5.1,-0.5
2100,BKPR,Temperate,42.5728,21.0358,min_hurs_loe,2.1,-4.2,-1.1,-4.5
2100,BKPR,Temperate,42.5728,21.0358,min_rho_loe,-0.8,-12.4,-14.2,-32.7
2100,BKPR,Temperate,42.5728,21.0358,min_hdw_loe,0,0,0,0
2100,CYEG,Temperate,53.3097,-113.58,max_tas_loe,1.4,3.5,9.4,9.6
2100,CYEG,Temperate,53.3097,-113.58,max_ps_loe,-0.1,-1.6,2.5,-1.2
2100,CYEG,Temperate,53.3097,-113.58,max_hurs_loe,0,0,0,0
2100,CYEG,Temperate,53.3097,-113.58,max_rho_loe,-38,-10.5,-21.6,-70.3
2100,CYEG,Temperate,53.3097,-113.58,max_hdw_loe,-1.2,-2.2,0,-1.3
2100,CYEG,Temperate,53.3097,-113.58,avg_tas_loe,0.6,2,4,6.4
2100,CYEG,Temperate,53.3097,-113.58,avg_ps_loe,0.6,0.2,0.6,0.6
2100,CYEG,Temperate,53.3097,-113.58,avg_hurs_loe,1.4,-3.4,-4.6,-5.3
2100,CYEG,Temperate,53.3097,-113.58,avg_rho_loe,-2.1,-8.6,-16.7,-27.6
2100,CYEG,Temperate,53.3097,-113.58,avg_hdw_loe,-0.3,-0.4,0,0
2100,CYEG,Temperate,53.3097,-113.58,min_tas_loe,6,0.8,3.4,13.1
2100,CYEG,Temperate,53.3097,-113.58,min_ps_loe,-0.3,1.6,-0.3,-0.6
2100,CYEG,Temperate,53.3097,-113.58,min_hurs_loe,1.2,0,-0.2,-2.7
2100,CYEG,Temperate,53.3097,-113.58,min_rho_loe,-3.7,-11.7,-31.1,-31.4
2100,CYEG,Temperate,53.3097,-113.58,min_hdw_loe,0,0,0,0
2100,CYHZ,Temperate,44.8808,-63.5086,max_tas_loe,0.5,2.9,4.7,5.4
2100,CYHZ,Temperate,44.8808,-63.5086,max_ps_loe,-1.1,-0.8,1.5,0.8
2100,CYHZ,Temperate,44.8808,-63.5086,max_hurs_loe,0,0,0,0
2100,CYHZ,Temperate,44.8808,-63.5086,max_rho_loe,2.1,-20.7,-36.6,-37.5
2100,CYHZ,Temperate,44.8808,-63.5086,max_hdw_loe,-0.6,1.7,2.8,0.1
2100,CYHZ,Temperate,44.8808,-63.5086,avg_tas_loe,0.3,1.9,3.8,4.6
2100,CYHZ,Temperate,44.8808,-63.5086,avg_ps_loe,-0.7,-0.2,0.1,0.3
2100,CYHZ,Temperate,44.8808,-63.5086,avg_hurs_loe,-0.2,-1.2,-3,-3.5
2100,CYHZ,Temperate,44.8808,-63.5086,avg_rho_loe,-2.2,-9,-17.4,-21.1
2100,CYHZ,Temperate,44.8808,-63.5086,avg_hdw_loe,0.1,0.2,0.8,-0.1
2100,CYHZ,Temperate,44.8808,-63.5086,min_tas_loe,0.4,3.9,7,8.3
2100,CYHZ,Temperate,44.8808,-63.5086,min_ps_loe,7,-6.6,-0.1,-2.7
2100,CYHZ,Temperate,44.8808,-63.5086,min_hurs_loe,0.5,1,-6.7,0.8
2100,CYHZ,Temperate,44.8808,-63.5086,min_rho_loe,-5.7,-9.7,-14.6,-21
2100,CYHZ,Temperate,44.8808,-63.5086,min_hdw_loe,0,0,0.1,-0.1
2100,CYLW,Temperate,49.9561,-119.378,max_tas_loe,0,3.5,6.4,7.2
2100,CYLW,Temperate,49.9561,-119.378,max_ps_loe,-1.4,0.2,0.6,0.5
2100,CYLW,Temperate,49.9561,-119.378,max_hurs_loe,0,0,0,0
2100,CYLW,Temperate,49.9561,-119.378,max_rho_loe,-5.4,4.3,6.7,-32.5
2100,CYLW,Temperate,49.9561,-119.378,max_hdw_loe,-0.5,0.1,2.6,0.1
2100,CYLW,Temperate,49.9561,-119.378,avg_tas_loe,0,1.3,3.6,5.4
2100,CYLW,Temperate,49.9561,-119.378,avg_ps_loe,0.7,0.6,1.3,1.9
2100,CYLW,Temperate,49.9561,-119.378,avg_hurs_loe,0.5,-1.1,-5.5,-5.8
2100,CYLW,Temperate,49.9561,-119.378,avg_rho_loe,0.9,-4.6,-12.7,-19.5
2100,CYLW,Temperate,49.9561,-119.378,avg_hdw_loe,-0.1,0,0.4,0
2100,CYLW,Temperate,49.9561,-119.378,min_tas_loe,1,-2,0.4,6.4
2100,CYLW,Temperate,49.9561,-119.378,min_ps_loe,-3.8,-0.3,0.3,1.7
2100,CYLW,Temperate,49.9561,-119.378,min_hurs_loe,1.6,-0.3,-4.8,-1
2100,CYLW,Temperate,49.9561,-119.378,min_rho_loe,-0.6,-12.5,-18.9,-21.7
2100,CYLW,Temperate,49.9561,-119.378,min_hdw_loe,0,0,0,0
2100,CYOW,Temperate,45.3225,-75.6692,max_tas_loe,2,3.9,5.5,7
2100,CYOW,Temperate,45.3225,-75.6692,max_ps_loe,0.8,0.3,-0.1,1.4
2100,CYOW,Temperate,45.3225,-75.6692,max_hurs_loe,0,0,0,0
2100,CYOW,Temperate,45.3225,-75.6692,max_rho_loe,2.2,-18.4,-51.7,-51.9
2100,CYOW,Temperate,45.3225,-75.6692,max_hdw_loe,1,1.1,0,-0.1
2100,CYOW,Temperate,45.3225,-75.6692,avg_tas_loe,0.1,1.8,4.3,5.4
2100,CYOW,Temperate,45.3225,-75.6692,avg_ps_loe,-0.2,-0.1,-0.5,0.1
2100,CYOW,Temperate,45.3225,-75.6692,avg_hurs_loe,-1.5,-1.7,-7.2,-6.9
2100,CYOW,Temperate,45.3225,-75.6692,avg_rho_loe,-0.3,-8.7,-20.4,-24.4
2100,CYOW,Temperate,45.3225,-75.6692,avg_hdw_loe,0.1,0.1,0.1,-0.1
2100,CYOW,Temperate,45.3225,-75.6692,min_tas_loe,-1.5,3.4,8.9,9.5
2100,CYOW,Temperate,45.3225,-75.6692,min_ps_loe,-2.3,-1.1,2.2,-2.8
2100,CYOW,Temperate,45.3225,-75.6692,min_hurs_loe,0.2,4.2,0.5,-6.3
2100,CYOW,Temperate,45.3225,-75.6692,min_rho_loe,-9.5,-11.6,-16.7,-25.7
2100,CYOW,Temperate,45.3225,-75.6692,min_hdw_loe,0,0,0,0
2100,CYQB,Temperate,46.7911,-71.3933,max_tas_loe,0.8,3.1,6.2,7.1
2100,CYQB,Temperate,46.7911,-71.3933,max_ps_loe,-1,1.3,0.4,1.7
2100,CYQB,Temperate,46.7911,-71.3933,max_hurs_loe,0,0,0,0
2100,CYQB,Temperate,46.7911,-71.3933,max_rho_loe,-2.9,-26.5,-42.8,-55.9
2100,CYQB,Temperate,46.7911,-71.3933,max_hdw_loe,0.6,0.2,2.4,0.2
2100,CYQB,Temperate,46.7911,-71.3933,avg_tas_loe,0,1.8,4.3,5.5
2100,CYQB,Temperate,46.7911,-71.3933,avg_ps_loe,-0.2,0,-0.2,0.4
2100,CYQB,Temperate,46.7911,-71.3933,avg_hurs_loe,-0.3,-1.1,-5.6,-7.6
2100,CYQB,Temperate,46.7911,-71.3933,avg_rho_loe,0,-8.3,-19.5,-24.1
2100,CYQB,Temperate,46.7911,-71.3933,avg_hdw_loe,0,0.1,0.7,0
2100,CYQB,Temperate,46.7911,-71.3933,min_tas_loe,0.3,5.3,6.2,9.6
2100,CYQB,Temperate,46.7911,-71.3933,min_ps_loe,-0.9,-4.3,0.1,-2.3
2100,CYQB,Temperate,46.7911,-71.3933,min_hurs_loe,1.7,-1.8,-5,-4.2
2100,CYQB,Temperate,46.7911,-71.3933,min_rho_loe,-5.4,-11.9,-20.3,-25.3
2100,CYQB,Temperate,46.7911,-71.3933,min_hdw_loe,0,0,0,0
2100,CYQR,Temperate,50.4319,-104.666,max_tas_loe,-0.1,3.7,6,8.7
2100,CYQR,Temperate,50.4319,-104.666,max_ps_loe,-0.8,-0.9,5.6,0.3
2100,CYQR,Temperate,50.4319,-104.666,max_hurs_loe,0,0,0,0
2100,CYQR,Temperate,50.4319,-104.666,max_rho_loe,-42.1,-8.6,-36.7,-47.9
2100,CYQR,Temperate,50.4319,-104.666,max_hdw_loe,-1.9,0,-0.2,-0.9
2100,CYQR,Temperate,50.4319,-104.666,avg_tas_loe,0,2.2,4,6.7
2100,CYQR,Temperate,50.4319,-104.666,avg_ps_loe,0.2,-0.3,0.5,0.8
2100,CYQR,Temperate,50.4319,-104.666,avg_hurs_loe,1.7,-3.2,-4.1,-7.4
2100,CYQR,Temperate,50.4319,-104.666,avg_rho_loe,-0.1,-9.6,-16.4,-27.6
2100,CYQR,Temperate,50.4319,-104.666,avg_hdw_loe,-0.1,-0.1,0,-0.1
2100,CYQR,Temperate,50.4319,-104.666,min_tas_loe,5.8,0.6,5.9,7.7
2100,CYQR,Temperate,50.4319,-104.666,min_ps_loe,-1.6,0.5,-6.1,-6
2100,CYQR,Temperate,50.4319,-104.666,min_hurs_loe,2.6,-5.6,0.7,-1.5
2100,CYQR,Temperate,50.4319,-104.666,min_rho_loe,-0.1,-13,-17.1,-27
2100,CYQR,Temperate,50.4319,-104.666,min_hdw_loe,0,0,0,0
2100,CYTZ,Temperate,43.6275,-79.3962,max_tas_loe,1.9,2.6,5.3,5.6
2100,CYTZ,Temperate,43.6275,-79.3962,max_ps_loe,1.9,-0.8,0.3,1.1
2100,CYTZ,Temperate,43.6275,-79.3962,max_hurs_loe,0,0,0,0
2100,CYTZ,Temperate,43.6275,-79.3962,max_rho_loe,0.8,-12.6,-46.4,-48
2100,CYTZ,Temperate,43.6275,-79.3962,max_hdw_loe,0.1,0.2,0.9,0.9
2100,CYTZ,Temperate,43.6275,-79.3962,avg_tas_loe,0.2,1.9,4.5,5.4
2100,CYTZ,Temperate,43.6275,-79.3962,avg_ps_loe,-0.2,-0.2,-0.2,0.3
2100,CYTZ,Temperate,43.6275,-79.3962,avg_hurs_loe,0.1,-1.8,-7.9,-6.2
2100,CYTZ,Temperate,43.6275,-79.3962,avg_rho_loe,-1,-8.8,-20.4,-23.8
2100,CYTZ,Temperate,43.6275,-79.3962,avg_hdw_loe,0,0,0.4,0.2
2100,CYTZ,Temperate,43.6275,-79.3962,min_tas_loe,-0.8,2.1,7.9,9.8
2100,CYTZ,Temperate,43.6275,-79.3962,min_ps_loe,-1.7,-2.2,3.8,-0.6
2100,CYTZ,Temperate,43.6275,-79.3962,min_hurs_loe,1.3,4.2,-3,-5
2100,CYTZ,Temperate,43.6275,-79.3962,min_rho_loe,-7.8,-10.7,-21.3,-21.6
2100,CYTZ,Temperate,43.6275,-79.3962,min_hdw_loe,0,0,0,0
2100,CYUL,Temperate,45.4706,-73.7408,max_tas_loe,1.7,4.2,5.6,7.3
2100,CYUL,Temperate,45.4706,-73.7408,max_ps_loe,0.1,-0.2,0.1,1.1
2100,CYUL,Temperate,45.4706,-73.7408,max_hurs_loe,0,0,0,0
2100,CYUL,Temperate,45.4706,-73.7408,max_rho_loe,-2.5,-20.9,-55.6,-55.2
2100,CYUL,Temperate,45.4706,-73.7408,max_hdw_loe,1.1,0.4,-0.3,0.3
