zone,exp,year,avg_tas,max_tas,avg_rho,min_rho,avg_hdw
Frigid,ssp126,2015,0,0,0,0,0
Frigid,ssp126,2016,0.304332682233962,5.46799999999996,0.00257378986418355,-0.01461,0.0981271550854688
Frigid,ssp126,2017,1.44618208295105,5.303,-0.00459312681703228,-0.0323200000000001,0.256850857977207
Frigid,ssp126,2018,2.8163580272402,1.01099999999997,-0.0110539372595255,-0.00690999999999997,0.0847108438258299
Frigid,ssp126,2019,1.20694328123005,3.18199999999996,-0.00785160533606688,-0.01233,0.136628863076675
Frigid,ssp126,2020,0.993504999655443,2.25399999999996,-0.00134480232792678,-0.0162900000000001,0.330591444693096
Frigid,ssp126,2021,-0.432737539391781,-0.533000000000016,0.00297235585818045,0.00217000000000001,0.172658681373426
Frigid,ssp126,2022,0.241485605348487,3.464,-0.000730441525297776,-0.000360000000000138,0.268547026585383
Frigid,ssp126,2023,1.81887240394582,5.33599999999996,-0.00823861172175255,-0.0186300000000001,0.290171071886259
Frigid,ssp126,2024,2.92033901229672,6.78299999999996,-0.0131709304211982,-0.02183,0.255633638518556
Frigid,ssp126,2025,2.34556122268145,0.0319999999999823,-0.0151866578018063,-0.01094,-0.0746298147236972
Frigid,ssp126,2026,2.41796403046584,1.53799999999995,-0.00993468177065959,-0.00278,0.461398941023222
Frigid,ssp126,2027,2.07141742364433,5.12299999999999,-0.00513016981042092,-0.0230700000000001,0.277238410088228
Frigid,ssp126,2028,3.35642072140286,6.12299999999999,-0.0177413037602778,-0.01092,0.230840598848362
Frigid,ssp126,2029,0.986401099875366,2.22499999999997,-0.00328277271325139,-0.00622999999999996,0.12180162404081
Frigid,ssp126,2030,1.46748182660343,3.38899999999995,-0.00622522793641323,-0.0156100000000001,-0.00822649961807853
Frigid,ssp126,2031,0.208897252779309,2.63799999999998,0.00154472618649582,-0.00241000000000002,0.252955463363699
Frigid,ssp126,2032,1.24784879334726,5.90099999999995,-0.00455124555270081,-0.0249200000000001,0.10611250836495
Frigid,ssp126,2033,2.56943660812266,2.10899999999998,-0.0112594976350919,-0.00828000000000007,0.084479385890603
Frigid,ssp126,2034,1.84051171313655,1.69799999999998,-0.00842063948953498,-0.00758999999999999,0.167885902918292
Frigid,ssp126,2035,0.786602390476276,2.06999999999999,-0.0041119217814698,-0.00591000000000008,0.32995446950934
Frigid,ssp126,2036,1.87662374897172,2.12299999999999,-0.0072929121550076,-0.00687000000000015,0.182279835975174
Frigid,ssp126,2037,-0.355303062304245,0.984999999999957,0.000683212408540967,-0.00425000000000009,0.0808326624519249
Frigid,ssp126,2038,1.98748203876329,2.22299999999996,-0.00868532326360771,-0.00705,0.243150050403975
Frigid,ssp126,2039,3.11350786311414,5.81399999999997,-0.0185688291860819,-0.01631,0.462773359864584
Frigid,ssp126,2040,2.55174210672914,3.18699999999996,-0.0121050552466289,-0.0131700000000001,0.237859954767699
Frigid,ssp126,2041,1.38519047173168,1.50299999999999,-0.00240675598211992,-0.00187000000000004,0.146213673401927
Frigid,ssp126,2042,2.04515760680829,7.11899999999997,-0.011861516713203,-0.0178700000000001,0.110597686215515
Frigid,ssp126,2043,1.5009827226915,4.40999999999997,-0.00612559922174727,-0.00392999999999999,0.255836783631249
Frigid,ssp126,2044,2.48049977427064,2.55099999999999,-0.0103103984367412,-0.0141900000000001,0.279204612326826
Frigid,ssp126,2045,0.101353532168162,0.230999999999995,-0.000257598204895348,0.000210000000000043,0.236207585154546
Frigid,ssp126,2046,1.34720477715996,2.02499999999998,-0.00558056557252495,-0.00672000000000006,0.338945299102678
Frigid,ssp126,2047,1.74878078536875,0.324999999999989,-0.00799181052504028,0.00130999999999992,0.180139345222285
Frigid,ssp126,2048,2.1063541153294,1.65099999999995,-0.0114455670643785,-0.000690000000000079,0.25189925606108
Frigid,ssp126,2049,0.923063627508441,3.10699999999997,0.000269752705827075,-0.0129600000000001,0.030744165340431
Frigid,ssp126,2050,2.16999609879679,3.55699999999996,-0.0092158059085119,-0.01207,0.475697457917316
Frigid,ssp126,2051,2.31896681509033,1.97199999999998,-0.0113429707149171,0.00144999999999995,0.399082795315648
Frigid,ssp126,2052,1.20309934057917,7.435,-0.00668666081393554,-0.0221100000000001,0.0777359748897211
Frigid,ssp126,2053,2.94125845319036,4.815,-0.0183284168724378,-0.01054,0.273302210128048
Frigid,ssp126,2054,3.05878484985027,1.85499999999996,-0.0176829301681471,-0.00849999999999995,0.298410456090423
Frigid,ssp126,2055,1.06251469884262,2.85899999999998,-0.00399212632514523,-0.0255300000000001,0.159703361222119
Frigid,ssp126,2056,-0.0327198037479661,4.493,0.000501284903409616,-0.01166,0.0711355848586823
Frigid,ssp126,2057,3.70334209204782,4.88399999999996,-0.0181902872315058,-0.0289000000000002,0.185755070873094
