zone,exp,year,avg_max_tas,loess_avg_max_tas
Frigid,ssp126,2015,0,2.38471490053943
Frigid,ssp126,2016,4.07849999999996,2.39234583258663
Frigid,ssp126,2017,3.7955,2.40008003772552
Frigid,ssp126,2018,1.33749999999998,2.40783255677451
Frigid,ssp126,2019,2.00299999999999,2.41551843055201
Frigid,ssp126,2020,2.22299999999996,2.42305269987642
Frigid,ssp126,2021,0.253500000000031,2.43035040556617
Frigid,ssp126,2022,2.02949999999998,2.43732658843965
Frigid,ssp126,2023,4.61199999999997,2.44389628931527
Frigid,ssp126,2024,5.31549999999999,2.44997454901144
Frigid,ssp126,2025,0.478999999999985,2.45547640834657
Frigid,ssp126,2026,1.86899999999997,2.46033442418633
Frigid,ssp126,2027,3.62599999999998,2.46464050155991
Frigid,ssp126,2028,4.23000000000002,2.468548703531
Frigid,ssp126,2029,2.03599999999994,2.47221309316328
Frigid,ssp126,2030,2.62299999999999,2.47578773352044
Frigid,ssp126,2031,2.47149999999999,2.47942668766617
Frigid,ssp126,2032,3.79999999999995,2.48328401866415
Frigid,ssp126,2033,2.43849999999998,2.48751378957806
Frigid,ssp126,2034,1.97500000000002,2.49227006347161
Frigid,ssp126,2035,1.76400000000001,2.49770690340846
Frigid,ssp126,2036,2.476,2.50397837245231
Frigid,ssp126,2037,0.562999999999988,2.50885757875275
Frigid,ssp126,2038,2.94299999999998,2.51057174147004
Frigid,ssp126,2039,4.10599999999999,2.50995609018389
Frigid,ssp126,2040,3.33999999999998,2.50784585447401
Frigid,ssp126,2041,1.79399999999998,2.50507626392009
Frigid,ssp126,2042,4.01099999999997,2.50248254810184
Frigid,ssp126,2043,2.553,2.50089993659896
Frigid,ssp126,2044,3.04149999999999,2.50116365899116
Frigid,ssp126,2045,0.712999999999965,2.50410894485814
Frigid,ssp126,2046,1.77949999999998,2.51057102377959
Frigid,ssp126,2047,0.499500000000012,2.52138512533524
Frigid,ssp126,2048,2.01699999999994,2.54013672175534
Frigid,ssp126,2049,2.11500000000001,2.56831126045472
Frigid,ssp126,2050,3.07799999999997,2.60359393378991
Frigid,ssp126,2051,2.30499999999995,2.64366993411743
Frigid,ssp126,2052,5.01099999999997,2.68622445379382
Frigid,ssp126,2053,3.81399999999996,2.72894268517559
Frigid,ssp126,2054,2.25349999999997,2.76950982061927
Frigid,ssp126,2055,1.88249999999999,2.8056110524814
Frigid,ssp126,2056,2.64099999999996,2.83493157311849
Frigid,ssp126,2057,4.11749999999995,2.85515657488708
Frigid,ssp126,2058,1.85550000000001,2.86875870694289
Frigid,ssp126,2059,1.10849999999999,2.88006243662542
Frigid,ssp126,2060,5.58500000000004,2.88953068356682
Frigid,ssp126,2061,2.77049999999997,2.89762636739926
Frigid,ssp126,2062,1.47050000000002,2.90481240775488
Frigid,ssp126,2063,2.209,2.91155172426585
Frigid,ssp126,2064,4.34050000000002,2.91830723656433
Frigid,ssp126,2065,4.53250000000003,2.92554186428246
Frigid,ssp126,2066,3.27549999999997,2.93371852705241
Frigid,ssp126,2067,3.68499999999995,2.94330014450633
Frigid,ssp126,2068,1.93449999999996,2.95474963627639
Frigid,ssp126,2069,5.41499999999996,2.96771555265895
Frigid,ssp126,2070,1.75,2.98127638640808
Frigid,ssp126,2071,2.637,2.9950399708425
Frigid,ssp126,2072,1.83499999999998,3.0086141392809
Frigid,ssp126,2073,2.93549999999999,3.02160672504201
Frigid,ssp126,2074,2.04200000000003,3.03362556144452
Frigid,ssp126,2075,3.81049999999999,3.04427848180714
Frigid,ssp126,2076,2.50049999999999,3.05317331944858
Frigid,ssp126,2077,3.53700000000003,3.05991790768756
Frigid,ssp126,2078,0.941500000000019,3.06412007984277
Frigid,ssp126,2079,3.11599999999999,3.06538766923292
Frigid,ssp126,2080,1.48949999999996,3.06432016725787
Frigid,ssp126,2081,3.28449999999998,3.06185237286258
Frigid,ssp126,2082,2.60950000000003,3.05809508068347
Frigid,ssp126,2083,2.38099999999997,3.05315908535694
Frigid,ssp126,2084,4.21299999999997,3.04715518151939
Frigid,ssp126,2085,4.61849999999998,3.04019416380725
Frigid,ssp126,2086,3.32650000000001,3.0323868268569
Frigid,ssp126,2087,4.12799999999999,3.02384396530476
Frigid,ssp126,2088,3.57049999999998,3.01467637378724
Frigid,ssp126,2089,5.03100000000001,3.00499484694073
Frigid,ssp126,2090,2.74350000000004,2.99491017940166
Frigid,ssp126,2091,2.41999999999996,2.98427278709341
Frigid,ssp126,2092,4.9425,2.97283665346416
Frigid,ssp126,2093,0.983499999999992,2.96056792443747
Frigid,ssp126,2094,3.57899999999995,2.9474327459369
Frigid,ssp126,2095,2.02549999999997,2.93339726388603
Frigid,ssp126,2096,1.84499999999997,2.91842762420841
Frigid,ssp126,2097,0.764499999999998,2.90248997282762
Frigid,ssp126,2098,2.71699999999998,2.88555045566722
Frigid,ssp126,2099,3.62149999999997,2.86757521865078
Frigid,ssp126,2100,3.96899999999999,2.84853040770186
Frigid,ssp245,2015,0,0.036423631489443
Frigid,ssp245,2016,-2.065,0.0580664983479972
Frigid,ssp245,2017,1.15649999999999,0.0798212291579264
Frigid,ssp245,2018,1.7475,0.101682242278312
Frigid,ssp245,2019,1.084,0.123643956068235
Frigid,ssp245,2020,0.391500000000008,0.145700788886778
Frigid,ssp245,2021,0.394999999999982,0.167847159093022
Frigid,ssp245,2022,0.283500000000004,0.190077485046048
Frigid,ssp245,2023,-2.493,0.212386185104937
Frigid,ssp245,2024,-0.318500000000029,0.234767677628771
Frigid,ssp245,2025,1.83149999999995,0.257216380976633
Frigid,ssp245,2026,0.127999999999986,0.27961082275254
Frigid,ssp245,2027,-0.333000000000027,0.301857116252186
Frigid,ssp245,2028,1.65100000000001,0.323991058372156
Frigid,ssp245,2029,0.718500000000006,0.346048446009038
Frigid,ssp245,2030,-1.61700000000002,0.36806507605942
Frigid,ssp245,2031,0.276999999999987,0.390076745419888
Frigid,ssp245,2032,0.545000000000016,0.412119250987029
Frigid,ssp245,2033,0.622999999999991,0.434228389657431
Frigid,ssp245,2034,0.625499999999931,0.456439958327682
Frigid,ssp245,2035,-2.618,0.478789753894367
Frigid,ssp245,2036,3.87499999999994,0.501313573254076
Frigid,ssp245,2037,1.16399999999993,0.523994241522863
Frigid,ssp245,2038,-1.23600000000005,0.546804221024107
Frigid,ssp245,2039,-0.493499999999983,0.569763764465371
Frigid,ssp245,2040,1.31649999999996,0.592893124554222
Frigid,ssp245,2041,0.769999999999982,0.616212553998226
Frigid,ssp245,2042,4.50600000000003,0.639742305504946
Frigid,ssp245,2043,-1.67500000000001,0.663502631781951
Frigid,ssp245,2044,0.954499999999996,0.687513785536803
Frigid,ssp245,2045,-1.53250000000003,0.71179601947707
Frigid,ssp245,2046,1.23650000000004,0.736369586310317
Frigid,ssp245,2047,1.40500000000003,0.761254738744109
Frigid,ssp245,2048,2.12299999999999,0.788264061545935
Frigid,ssp245,2049,0.863,0.818515329467157
Frigid,ssp245,2050,1.43000000000001,0.850986580191147
Frigid,ssp245,2051,2.214,0.88465585140128
Frigid,ssp245,2052,0.204000000000008,0.918501180780929
Frigid,ssp245,2053,2.07549999999998,0.951500606013468
Frigid,ssp245,2054,0.0930000000000177,0.98263216478227
Frigid,ssp245,2055,-0.694500000000005,1.01087389477071
Frigid,ssp245,2056,0.611999999999966,1.03520383366216
Frigid,ssp245,2057,1.84099999999995,1.05460001914
Frigid,ssp245,2058,1.11200000000002,1.06723900278112
Frigid,ssp245,2059,-0.978000000000009,1.07301553012489
Frigid,ssp245,2060,-1.73750000000001,1.07348492979834
Frigid,ssp245,2061,1.59549999999996,1.07020253042853
Frigid,ssp245,2062,1.56,1.06472366064249
Frigid,ssp245,2063,0.620000000000005,1.05860364906727
Frigid,ssp245,2064,1.63200000000001,1.05339782432992
Frigid,ssp245,2065,2.81149999999997,1.05066151505747
Frigid,ssp245,2066,1.59250000000003,1.05195004987699
Frigid,ssp245,2067,3.49499999999995,1.0588187574155
Frigid,ssp245,2068,0.927999999999997,1.07282296630006
Frigid,ssp245,2069,-0.181499999999971,1.09375856959143
Frigid,ssp245,2070,1.613,1.11968704283244
Frigid,ssp245,2071,3.86549999999994,1.14956208837321
Frigid,ssp245,2072,1.08350000000002,1.18233740856389
Frigid,ssp245,2073,2.02749999999998,1.21696670575459
Frigid,ssp245,2074,1.65499999999997,1.25240368229545
Frigid,ssp245,2075,-2.72550000000001,1.28760204053661
Frigid,ssp245,2076,1.49399999999997,1.32151548282819
Frigid,ssp245,2077,1.00599999999997,1.35309771152032
Frigid,ssp245,2078,2.12100000000004,1.38130242896315
Frigid,ssp245,2079,-1.13299999999998,1.40508333750679
Frigid,ssp245,2080,1.488,1.42613781298619
Frigid,ssp245,2081,0.576499999999953,1.44683179738278
Frigid,ssp245,2082,1.29249999999996,1.46712184226642
Frigid,ssp245,2083,1.00549999999998,1.48696449920696
Frigid,ssp245,2084,0.448000000000036,1.50631631977427
Frigid,ssp245,2085,1.55249999999995,1.5251338555382
Frigid,ssp245,2086,1.75650000000002,1.54337365806862
Frigid,ssp245,2087,1.89499999999998,1.56099227893538
Frigid,ssp245,2088,2.11750000000001,1.57794626970834
Frigid,ssp245,2089,3.70249999999999,1.59419218195736
Frigid,ssp245,2090,2.92799999999994,1.6096865672523
Frigid,ssp245,2091,1.0675,1.62444691401537
Frigid,ssp245,2092,3.39150000000001,1.63853331761254
Frigid,ssp245,2093,3.29149999999999,1.65196624002936
Frigid,ssp245,2094,3.28050000000002,1.66476614325137
Frigid,ssp245,2095,0.621500000000026,1.6769534892641
Frigid,ssp245,2096,-1.85300000000001,1.68854874005311
Frigid,ssp245,2097,4.10399999999999,1.69957235760392
Frigid,ssp245,2098,1.81049999999999,1.71004480390208
Frigid,ssp245,2099,0.583500000000015,1.71998654093312
Frigid,ssp245,2100,0.410500000000013,1.7294180306826
Frigid,ssp370,2015,0,-0.49479460444155
Frigid,ssp370,2016,-0.786999999999978,-0.425665483442253
Frigid,ssp370,2017,1.39499999999998,-0.357816485553178
Frigid,ssp370,2018,-0.514999999999986,-0.291267531612011
Frigid,ssp370,2019,0.101999999999975,-0.226038542456438
Frigid,ssp370,2020,1.29600000000005,-0.162149438924147
Frigid,ssp370,2021,-1.33850000000001,-0.0996201418528234
Frigid,ssp370,2022,2.0215,-0.0384705720801537
Frigid,ssp370,2023,-1.87400000000002,0.0212793495561753
Frigid,ssp370,2024,-1.08600000000001,0.0796097022184772
Frigid,ssp370,2025,-0.900499999999965,0.136500565069066
Frigid,ssp370,2026,-2.399,0.191797093130652
Frigid,ssp370,2027,-1.209,0.245407163562536
Frigid,ssp370,2028,-0.283000000000015,0.297404938731918
Frigid,ssp370,2029,-0.120499999999993,0.347864581005996
Frigid,ssp370,2030,1.31650000000002,0.396860252751969
Frigid,ssp370,2031,0.649000000000001,0.444466116337037
Frigid,ssp370,2032,-0.369000000000028,0.490756334128398
Frigid,ssp370,2033,0.697999999999979,0.535805068493251
Frigid,ssp370,2034,1.81700000000001,0.579686481798795
Frigid,ssp370,2035,1.41999999999996,0.622474736412229
Frigid,ssp370,2036,2.57950000000005,0.664243994700751
Frigid,ssp370,2037,2.62599999999998,0.706135669767759
Frigid,ssp370,2038,1.76400000000001,0.748871497024047
Frigid,ssp370,2039,0.849500000000035,0.79189612229791
Frigid,ssp370,2040,1.0745,0.834654191417645
Frigid,ssp370,2041,0.476499999999987,0.876590350211548
Frigid,ssp370,2042,0.687000000000012,0.917149244507915
Frigid,ssp370,2043,1.37150000000003,0.955775520135041
Frigid,ssp370,2044,0.888500000000022,0.991913822921224
Frigid,ssp370,2045,-1.27749999999998,1.02500879869476
Frigid,ssp370,2046,1.37850000000003,1.05450509328394
Frigid,ssp370,2047,-0.204000000000008,1.07984735251707
