zone,exp,year,avg_min_rho,loess_avg_min_rho
Frigid,ssp126,2015,0,-0.0117569375999822
Frigid,ssp126,2016,-0.00642999999999994,-0.0117485503222992
Frigid,ssp126,2017,-0.0195000000000003,-0.0117408422305683
Frigid,ssp126,2018,-0.0131049999999999,-0.011733503390934
Frigid,ssp126,2019,-0.02054,-0.011726223869541
Frigid,ssp126,2020,-0.0157050000000001,-0.011718693732534
Frigid,ssp126,2021,-0.00472500000000009,-0.0117106030460577
Frigid,ssp126,2022,-0.00234000000000023,-0.0117016418762566
Frigid,ssp126,2023,-0.01431,-0.0116915002892756
Frigid,ssp126,2024,-0.0213300000000001,-0.0116798683512591
Frigid,ssp126,2025,-0.0101650000000002,-0.0116664361283519
Frigid,ssp126,2026,-0.01498,-0.0116510102595111
Frigid,ssp126,2027,-0.0153300000000001,-0.0116339332088432
Frigid,ssp126,2028,-0.01267,-0.0116156987802164
Frigid,ssp126,2029,-0.0173300000000001,-0.011596800777499
Frigid,ssp126,2030,-0.0149300000000001,-0.0115777330045594
Frigid,ssp126,2031,-0.00143000000000004,-0.0115589892652659
Frigid,ssp126,2032,-0.0178850000000002,-0.0115410633634867
Frigid,ssp126,2033,-0.00650500000000021,-0.0115244491030903
Frigid,ssp126,2034,-0.01606,-0.0115096402879449
Frigid,ssp126,2035,-0.0098100000000001,-0.0114971307219189
Frigid,ssp126,2036,-0.0102850000000001,-0.0114874142088806
Frigid,ssp126,2037,-0.00297999999999998,-0.0114717767494152
Frigid,ssp126,2038,-0.00952000000000019,-0.0114435674361952
Frigid,ssp126,2039,-0.0207000000000002,-0.0114063747112204
Frigid,ssp126,2040,-0.0162950000000002,-0.0113637870164903
Frigid,ssp126,2041,-0.00514999999999999,-0.0113193927940043
Frigid,ssp126,2042,-0.0102800000000001,-0.0112767804857622
Frigid,ssp126,2043,-0.0051000000000001,-0.0112395385337634
Frigid,ssp126,2044,-0.0109750000000002,-0.0112112553800075
Frigid,ssp126,2045,-0.00575500000000018,-0.0111955194664941
Frigid,ssp126,2046,-0.018205,-0.0111959192352227
Frigid,ssp126,2047,-0.0058450000000001,-0.0112160431281929
Frigid,ssp126,2048,-0.00653499999999996,-0.0112628332453982
Frigid,ssp126,2049,-0.0173450000000002,-0.0113370986018682
Frigid,ssp126,2050,-0.0197800000000001,-0.011433228012157
Frigid,ssp126,2051,-0.00480999999999998,-0.0115456102908183
Frigid,ssp126,2052,-0.0188600000000001,-0.0116686342524063
Frigid,ssp126,2053,-0.0152049999999999,-0.0117966887114748
Frigid,ssp126,2054,-0.00699500000000008,-0.0119241624825778
Frigid,ssp126,2055,-0.0166750000000002,-0.0120454443802692
Frigid,ssp126,2056,-0.00423000000000018,-0.012154923219103
Frigid,ssp126,2057,-0.0196350000000001,-0.0122469878136332
Frigid,ssp126,2058,-0.00743000000000005,-0.0123263290190962
Frigid,ssp126,2059,-0.0099800000000001,-0.0124021626754466
Frigid,ssp126,2060,-0.02129,-0.0124756650743152
Frigid,ssp126,2061,-0.00872000000000006,-0.0125480125073327
Frigid,ssp126,2062,-0.00377000000000005,-0.0126203812661298
Frigid,ssp126,2063,-0.0164550000000001,-0.0126939476423375
Frigid,ssp126,2064,-0.0154400000000001,-0.0127698879275864
Frigid,ssp126,2065,-0.0154200000000002,-0.0128493784135073
Frigid,ssp126,2066,-0.0113150000000002,-0.0129335953917311
Frigid,ssp126,2067,-0.0221750000000001,-0.0130237151538884
Frigid,ssp126,2068,-0.00364999999999993,-0.0131209139916102
Frigid,ssp126,2069,-0.0151100000000002,-0.0132286085695256
Frigid,ssp126,2070,-0.0079800000000001,-0.0133473704183363
Frigid,ssp126,2071,-0.0148300000000001,-0.0134741081287817
Frigid,ssp126,2072,-0.0106300000000001,-0.0136057302916009
Frigid,ssp126,2073,-0.0218250000000002,-0.0137391454975333
Frigid,ssp126,2074,-0.00902000000000003,-0.0138712623373181
Frigid,ssp126,2075,-0.0112850000000002,-0.0139989894016945
Frigid,ssp126,2076,-0.0109600000000001,-0.0141192352814018
Frigid,ssp126,2077,-0.0235050000000001,-0.0142289085671793
Frigid,ssp126,2078,-0.0120850000000001,-0.0143249178497662
Frigid,ssp126,2079,-0.0141100000000001,-0.0144041717199018
Frigid,ssp126,2080,-0.00356500000000004,-0.0144732806879428
Frigid,ssp126,2081,-0.0188800000000002,-0.0145406292948895
Frigid,ssp126,2082,-0.0146200000000001,-0.0146057871774463
Frigid,ssp126,2083,-0.01511,-0.014668323972318
Frigid,ssp126,2084,-0.0233650000000001,-0.014727809316209
Frigid,ssp126,2085,-0.0193400000000001,-0.0147838128458241
Frigid,ssp126,2086,-0.0122100000000001,-0.0148359041978677
Frigid,ssp126,2087,-0.0147200000000001,-0.0148836530090444
Frigid,ssp126,2088,-0.0152550000000002,-0.0149266289160589
Frigid,ssp126,2089,-0.0248349999999999,-0.0149644015556156
Frigid,ssp126,2090,-0.010955,-0.0149965405644193
Frigid,ssp126,2091,-0.01322,-0.015022670886543
Frigid,ssp126,2092,-0.0157600000000002,-0.0150428663836239
Frigid,ssp126,2093,-0.00928500000000021,-0.015057370068713
Frigid,ssp126,2094,-0.0168200000000001,-0.0150664249548611
Frigid,ssp126,2095,-0.0242800000000001,-0.0150702740551193
Frigid,ssp126,2096,-0.0105400000000002,-0.0150691603825383
Frigid,ssp126,2097,-0.00585000000000013,-0.0150633269501692
Frigid,ssp126,2098,-0.0128699999999999,-0.0150530167710629
Frigid,ssp126,2099,-0.0221750000000001,-0.0150384728582702
Frigid,ssp126,2100,-0.0131100000000002,-0.015019938224842
Frigid,ssp245,2015,0,-0.000420198621329907
Frigid,ssp245,2016,0.00486500000000012,-0.000331784231861335
Frigid,ssp245,2017,-0.00249499999999991,-0.000251064150341248
Frigid,ssp245,2018,-0.000334999999999974,-0.000177994857775729
Frigid,ssp245,2019,-0.00384499999999988,-0.000112532835170862
Frigid,ssp245,2020,-0.00141999999999998,-5.46345635327294e-05
Frigid,ssp245,2021,0.00218999999999991,-4.25652386741431e-06
Frigid,ssp245,2022,-0.00307500000000016,3.86448028190002e-05
Frigid,ssp245,2023,0.00608000000000009,7.41129355204309e-05
Frigid,ssp245,2024,-0.00356000000000001,0.000102191393230795
Frigid,ssp245,2025,0.000590000000000091,0.000122923694944009
Frigid,ssp245,2026,-0.00110999999999994,0.000136431932105786
Frigid,ssp245,2027,-0.00131499999999996,0.000142750263434502
Frigid,ssp245,2028,-0.000559999999999894,0.000141790308833064
Frigid,ssp245,2029,-0.00133499999999986,0.00013346368820438
Frigid,ssp245,2030,0.00900000000000012,0.000117682021451358
