year,exp,type,zone,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko,tko_ok_thr_min_per,tko_ok_thr_mid_per,tko_ok_thr_max_per,tko_ok_per,tko_ko_per,tko_per,tko_ok_thr_min_per_loess,tko_ko_per_loess
2015,ssp126,Narrowbody,Temperate,556206,509998,186653,1252857,238241,1491098,0.37301773592346,0.34202849175574,0.125178224368888,0.840224452048088,0.159775547951912,1,0.372380070925297,0.159638479353803
2015,ssp126,Widebody,Temperate,29407,569933,480895,1080235,410863,1491098,0.0197217084323096,0.382223703606336,0.322510659929797,0.724456071968442,0.275543928031558,1,0.0190011451869441,0.275210900138116
2015,ssp245,Narrowbody,Temperate,558168,508431,186736,1253335,237763,1491098,0.374333544810603,0.340977588327528,0.1252338880476,0.84054502118573,0.15945497881427,1,0.372165857029301,0.159944066146721
2015,ssp245,Widebody,Temperate,29661,568753,483837,1082251,408847,1491098,0.0198920527021027,0.381432340463202,0.324483702613779,0.725808095779084,0.274191904220916,1,0.0188427539945129,0.275482985037952
2015,ssp370,Narrowbody,Temperate,557188,509044,186996,1253228,237870,1491098,0.373676311013763,0.341388694773918,0.125408256197782,0.840473261985463,0.159526738014537,1,0.372367808680152,0.160118076957747
2015,ssp370,Widebody,Temperate,29430,569456,482488,1081374,409724,1491098,0.0197371333071334,0.381903805115425,0.323579000173027,0.725219938595585,0.274780061404415,1,0.0190534273253381,0.275566833913957
2015,ssp585,Narrowbody,Temperate,555927,509902,187305,1253134,237964,1491098,0.372830625485381,0.341964109669519,0.125615486037806,0.840410221192705,0.159589778807295,1,0.372316684443235,0.15988361304279
2015,ssp585,Widebody,Temperate,29664,568512,482774,1080950,410148,1491098,0.0198940646422972,0.381270714600918,0.323770805138227,0.724935584381442,0.275064415618558,1,0.0187527610737823,0.275360311297497
2016,ssp126,Narrowbody,Temperate,558293,510977,187644,1256914,239294,1496208,0.373138627784372,0.341514682450568,0.125413044175676,0.840066354410617,0.159933645589383,1,0.37235691049767,0.159682254541813
2016,ssp126,Widebody,Temperate,29797,570745,483417,1083959,412249,1496208,0.0199150118165389,0.381461000074856,0.323094783612974,0.724470795504368,0.275529204495632,1,0.0190056641472768,0.275249967172421
2016,ssp245,Narrowbody,Temperate,558955,511408,187322,1257685,238523,1496208,0.373581079635986,0.341802744003508,0.125197833456311,0.840581657095805,0.159418342904195,1,0.372171650024391,0.159942913114288
2016,ssp245,Widebody,Temperate,29129,571700,485252,1086081,410127,1496208,0.0194685498272967,0.382099280313967,0.324321217370847,0.725889047512111,0.274110952487889,1,0.0188606869067559,0.275470129158053
2016,ssp370,Narrowbody,Temperate,560046,510115,187922,1258083,238125,1496208,0.374310256327997,0.34093855934469,0.125598847219103,0.840847662891791,0.15915233710821,1,0.372340700924241,0.160114045477307
2016,ssp370,Widebody,Temperate,30594,569677,485821,1086092,410116,1496208,0.0204476917647814,0.380747195577086,0.324701512089228,0.725896399431095,0.274103600568905,1,0.0190294946011907,0.275563480384955
2016,ssp585,Narrowbody,Temperate,555841,513784,186642,1256267,239941,1496208,0.371499818207094,0.343390758504165,0.124743351191813,0.839633927903072,0.160366072096928,1,0.372300976102599,0.159902367559109
2016,ssp585,Widebody,Temperate,28652,571658,481813,1082123,414085,1496208,0.0191497438858768,0.382071209350572,0.322022740153775,0.723243693390224,0.276756306609776,1,0.0187476400546321,0.275363321558253
2017,ssp126,Narrowbody,Temperate,553869,514160,185427,1253456,238664,1492120,0.371196016406187,0.344583545559338,0.124270836125781,0.840050398091306,0.159949601908694,1,0.372333074916679,0.15972507818793
2017,ssp126,Widebody,Temperate,27408,571255,481882,1080545,411575,1492120,0.0183684958314345,0.382847894271238,0.322951237165912,0.724167627268584,0.275832372731416,1,0.0190092902163126,0.27528870629759
2017,ssp245,Narrowbody,Temperate,556690,510668,185732,1253090,239030,1492120,0.373086615017559,0.342243251213039,0.124475243278021,0.839805109508619,0.160194890491381,1,0.372174872570192,0.159943009535206
2017,ssp245,Widebody,Temperate,28376,570924,482037,1081337,410783,1492120,0.0190172372195266,0.382626062247004,0.323055116210492,0.724698415677023,0.275301584322977,1,0.018877057509194,0.275459686184508
2017,ssp370,Narrowbody,Temperate,549095,516336,186285,1251716,240404,1492120,0.367996541833097,0.346041873307777,0.12484585690159,0.838884272042463,0.161115727957537,1,0.372310222939904,0.160112317474831
2017,ssp370,Widebody,Temperate,25040,572217,479735,1076992,415128,1492120,0.0167814921051926,0.383492614535024,0.321512344851621,0.721786451491837,0.278213548508163,1,0.0190050886809921,0.275563901444392
2017,ssp585,Narrowbody,Temperate,554893,512385,185945,1253223,238897,1492120,0.371882288287805,0.343393962952041,0.124617993190896,0.839894244430743,0.160105755569257,1,0.372280589442314,0.159922899174929
2017,ssp585,Widebody,Temperate,27200,572226,481780,1081206,410914,1492120,0.0182290968554808,0.383498646221484,0.322882878052704,0.724610621129668,0.275389378870332,1,0.0187412617670002,0.275370692693682
