year,exp,type,vlof_avg,vlof_avg_loess
2015,ssp126,Narrowbody,83.45975,83.484637361556
2015,ssp126,Widebody,89.9304,89.9587148078084
2015,ssp245,Narrowbody,83.45095,83.487793234739
2015,ssp245,Widebody,89.9278,89.9604515187737
2015,ssp370,Narrowbody,83.45185,83.5069651179927
2015,ssp370,Widebody,89.927,89.9799267957127
2015,ssp585,Narrowbody,83.478,83.4981650028981
2015,ssp585,Widebody,89.9533,89.9706259835647
2016,ssp126,Narrowbody,83.4619,83.4881230202494
2016,ssp126,Widebody,89.93275,89.9619747487339
2016,ssp245,Narrowbody,83.4639,83.490382167567
2016,ssp245,Widebody,89.9433,89.9629241666757
2016,ssp370,Narrowbody,83.4956,83.5081063559042
2016,ssp370,Widebody,89.9715,89.9809406320155
2016,ssp585,Narrowbody,83.4863,83.4999939176059
2016,ssp585,Widebody,89.9566,89.9724531790574
2017,ssp126,Narrowbody,83.5251,83.4915366526319
2017,ssp126,Widebody,90.0009,89.9651709412364
2017,ssp245,Narrowbody,83.4715,83.4929845938634
2017,ssp245,Widebody,89.94435,89.9654149368992
2017,ssp370,Narrowbody,83.54865,83.509370630459
2017,ssp370,Widebody,90.0135,89.9820812964427
2017,ssp585,Narrowbody,83.48195,83.5019508491011
2017,ssp585,Widebody,89.9536,89.9744067714019
2018,ssp126,Narrowbody,83.5073,83.4948770739586
2018,ssp126,Widebody,89.98095,89.9683021139219
2018,ssp245,Narrowbody,83.5182,83.4955994459851
2018,ssp245,Widebody,89.9843,89.9679233273757
2018,ssp370,Narrowbody,83.5824,83.5107606790789
2018,ssp370,Widebody,90.05365,89.9833518216389
2018,ssp585,Narrowbody,83.54685,83.5040360661037
2018,ssp585,Widebody,90.02025,89.9764868719992
2019,ssp126,Narrowbody,83.50945,83.4981430994846
2019,ssp126,Widebody,89.9853,89.9713669953964
2019,ssp245,Narrowbody,83.5696,83.498225656289
2019,ssp245,Widebody,90.0382,89.9704488360371
2019,ssp370,Narrowbody,83.58155,83.5122792391857
2019,ssp370,Widebody,90.05475,89.9847552402488
2019,ssp585,Narrowbody,83.5382,83.5062498373336
2019,ssp585,Widebody,90.01345,89.9786935922504
2020,ssp126,Narrowbody,83.4716,83.501333544465
2020,ssp126,Widebody,89.94675,89.9743643142659
2020,ssp245,Narrowbody,83.5074,83.5008621571321
2020,ssp245,Widebody,89.9841,89.972990960815
2020,ssp370,Narrowbody,83.50415,83.5139290482014
2020,ssp370,Widebody,89.9747,89.9862945849169
2020,ssp585,Narrowbody,83.5148,83.5085924315109
2020,ssp585,Widebody,89.9879,89.9810270435563
2021,ssp126,Narrowbody,83.4761,83.5044472241549
2021,ssp126,Widebody,89.9539,89.9772927991366
2021,ssp245,Narrowbody,83.5292,83.5035078808711
2021,ssp245,Widebody,89.99985,89.9755491996412
2021,ssp370,Narrowbody,83.47745,83.5157128435475
2021,ssp370,Widebody,89.9531,89.9879728882879
2021,ssp585,Narrowbody,83.51395,83.5110641173555
2021,ssp585,Widebody,89.9823,89.9834873373181
2022,ssp126,Narrowbody,83.50205,83.5074829538094
2022,ssp126,Widebody,89.98115,89.9801511786142
2022,ssp245,Narrowbody,83.5314,83.5061617598632
2022,ssp245,Widebody,89.99965,89.9781230504473
2022,ssp370,Narrowbody,83.49035,83.5176333626461
2022,ssp370,Widebody,89.959,89.9897931830065
2022,ssp585,Narrowbody,83.53425,83.5136651635873
2022,ssp585,Widebody,90.0002,89.9860745849367
2023,ssp126,Narrowbody,83.54495,83.5104395486836
