year,exp,type,todr_avg,todr_avg_loess
2015,ssp126,Narrowbody,2931.255,2930.72570171133
2015,ssp126,Widebody,3341.95,3340.61510201946
2015,ssp245,Narrowbody,2929.23,2931.21534183432
2015,ssp245,Widebody,3340.41,3341.23702043146
2015,ssp370,Narrowbody,2930.1,2931.26568828965
2015,ssp370,Widebody,3340.885,3341.34013146472
2015,ssp585,Narrowbody,2931.7,2931.55339105313
2015,ssp585,Widebody,3342.93,3341.36229477929
2016,ssp126,Narrowbody,2930.545,2930.83515000054
2016,ssp126,Widebody,3341.33,3340.69917529623
2016,ssp245,Narrowbody,2928.065,2931.26427585647
2016,ssp245,Widebody,3339.205,3341.25756375068
2016,ssp370,Narrowbody,2930.385,2931.32588584862
2016,ssp370,Widebody,3340.955,3341.37022957872
2016,ssp585,Narrowbody,2932.19,2931.57069641192
2016,ssp585,Widebody,3342.365,3341.36949790526
2017,ssp126,Narrowbody,2930.815,2930.94273404575
2017,ssp126,Widebody,3340.29,3340.78180823551
2017,ssp245,Narrowbody,2932.13,2931.3148206689
2017,ssp245,Widebody,3342.26,3341.27969203461
2017,ssp370,Narrowbody,2936.145,2931.38991700794
2017,ssp370,Widebody,3344.265,3341.40339291022
2017,ssp585,Narrowbody,2932.515,2931.59451832819
2017,ssp585,Widebody,3342.295,3341.38149438497
2018,ssp126,Narrowbody,2932.575,2931.04850463411
2018,ssp126,Widebody,3342.15,3340.86310906505
2018,ssp245,Narrowbody,2934.61,2931.36691083669
2018,ssp245,Widebody,3343.61,3341.30340430144
2018,ssp370,Narrowbody,2934.19,2931.45781836192
2018,ssp370,Widebody,3342.215,3341.43966353552
2018,ssp585,Narrowbody,2932.365,2931.62495093311
2018,ssp585,Widebody,3340.86,3341.398419957
2019,ssp126,Narrowbody,2930.405,2931.15251255278
2019,ssp126,Widebody,3339.84,3340.94318601256
2019,ssp245,Narrowbody,2934.72,2931.42048092492
2019,ssp245,Widebody,3343.52,3341.32869956937
2019,ssp370,Narrowbody,2931.13,2931.52962650485
2019,ssp370,Widebody,3340.95,3341.4790835309
2019,ssp585,Narrowbody,2930.86,2931.66208835787
2019,ssp585,Widebody,3340.295,3341.42041035991
2020,ssp126,Narrowbody,2930.555,2931.25480858891
2020,ssp126,Widebody,3340.475,3341.02214730578
2020,ssp245,Narrowbody,2929.07,2931.47546549866
2020,ssp245,Widebody,3339.665,3341.35557685658
2020,ssp370,Narrowbody,2931.24,2931.60537803103
2020,ssp370,Widebody,3341.655,3341.52169497262
2020,ssp585,Narrowbody,2930.095,2931.70602473366
2020,ssp585,Widebody,3339.84,3341.44760133227
2021,ssp126,Narrowbody,2928.91,2931.35544352966
2021,ssp126,Widebody,3338.715,3341.10010117244
2021,ssp245,Narrowbody,2933.465,2931.53179912299
2021,ssp245,Widebody,3342.285,3341.38403518125
2021,ssp370,Narrowbody,2929.575,2931.68510953476
2021,ssp370,Widebody,3340.525,3341.56753993699
2021,ssp585,Narrowbody,2933.145,2931.75685419165
