year,exp,type,zone,todr_avg,todr_avg_loess
2015,ssp126,Narrowbody,Temperate,2933.425,2933.25241189134
2015,ssp126,Widebody,Temperate,3380.265,3378.77113816955
2015,ssp245,Narrowbody,Temperate,2931.415,2934.32680116776
2015,ssp245,Widebody,Temperate,3378.585,3379.87710177263
2015,ssp370,Narrowbody,Temperate,2931.72,2933.51825002878
2015,ssp370,Widebody,Temperate,3378.505,3379.53771108939
2015,ssp585,Narrowbody,Temperate,2935.03,2933.81055317626
2015,ssp585,Widebody,Temperate,3382.28,3379.47499248468
2016,ssp126,Narrowbody,Temperate,2932.915,2933.31549224577
2016,ssp126,Widebody,Temperate,3379.685,3378.8240834921
2016,ssp245,Narrowbody,Temperate,2931.33,2934.30275181834
2016,ssp245,Widebody,Temperate,3377.235,3379.84674805942
2016,ssp370,Narrowbody,Temperate,2931.33,2933.60308288748
2016,ssp370,Widebody,Temperate,3377.995,3379.5834236876
2016,ssp585,Narrowbody,Temperate,2935.335,2933.8284132435
2016,ssp585,Widebody,Temperate,3381.265,3379.47688781882
2017,ssp126,Narrowbody,Temperate,2933.86,2933.37908111797
2017,ssp126,Widebody,Temperate,3378.42,3378.87728249662
2017,ssp245,Narrowbody,Temperate,2935.165,2934.28307339699
2017,ssp245,Widebody,Temperate,3380.82,3379.81995251924
2017,ssp370,Narrowbody,Temperate,2941.07,2933.6912438455
2017,ssp370,Widebody,Temperate,3384.745,3379.6318550364
2017,ssp585,Narrowbody,Temperate,2935.735,2933.85359356512
2017,ssp585,Widebody,Temperate,3381.4,3379.48446255027
2018,ssp126,Narrowbody,Temperate,2935.725,2933.4433170683
2018,ssp126,Widebody,Temperate,3381.42,3378.93098114069
2018,ssp245,Narrowbody,Temperate,2939.7,2934.26774721161
2018,ssp245,Widebody,Temperate,3383.815,3379.79677450589
2018,ssp370,Narrowbody,Temperate,2937.915,2933.78270286234
2018,ssp370,Widebody,Temperate,3381.355,3379.68299001171
2018,ssp585,Narrowbody,Temperate,2935.235,2933.8862845412
2018,ssp585,Widebody,Temperate,3378.89,3379.49793714451
2019,ssp126,Narrowbody,Temperate,2932.915,2933.50833865712
2019,ssp126,Widebody,Temperate,3377.865,3378.98542538186
2019,ssp245,Narrowbody,Temperate,2938.025,2934.25675457014
2019,ssp245,Widebody,Temperate,3382.94,3379.77727337321
2019,ssp370,Narrowbody,Temperate,2933.05,2933.87742989753
2019,ssp370,Widebody,Temperate,3378.895,3379.73681348944
2019,ssp585,Narrowbody,Temperate,2932.495,2933.92667657181
2019,ssp585,Widebody,Temperate,3377.86,3379.51753206703
2020,ssp126,Narrowbody,Temperate,2933.04,2933.5742844448
2020,ssp126,Widebody,Temperate,3378.63,3379.04086117769
2020,ssp245,Narrowbody,Temperate,2930.75,2934.25007678047
2020,ssp245,Widebody,Temperate,3377.31,3379.76150847502
2020,ssp370,Narrowbody,Temperate,2934.41,2933.97539491057
2020,ssp370,Widebody,Temperate,3380.75,3379.79331034553
2020,ssp585,Narrowbody,Temperate,2929.61,2933.97496005703
2020,ssp585,Widebody,Temperate,3375.395,3379.54346778333
2021,ssp126,Narrowbody,Temperate,2930.05,2933.64129299169
2021,ssp126,Widebody,Temperate,3375.425,3379.09753448574
2021,ssp245,Narrowbody,Temperate,2936.59,2934.24769515053
2021,ssp245,Widebody,Temperate,3380.995,3379.74953916514
