year,zone,icao,lat,lon,variable,Narrowbody_ssp126,Narrowbody_ssp245,Narrowbody_ssp370,Narrowbody_ssp585,Widebody_ssp126,Widebody_ssp245,Widebody_ssp370,Widebody_ssp585
2100,Temperate,BIKF,63.985,-22.6056,avg_todr_dif,21.6,-11.2,23.4,20.8,7.1,-0.5,8.6,0.3
2100,Temperate,BIKF,63.985,-22.6056,avg_thr_dif,0.3,-0.2,0.3,0.5,0.6,-0.4,0.6,0.9
2100,Temperate,BIKF,63.985,-22.6056,avg_pax_rem_dif,0,0,0,0,0,0,0,0
2100,Temperate,BKPR,42.5728,21.0358,avg_todr_dif,-0.2,0.1,0.3,0.2,0.5,0.5,-0.8,-0.3
2100,Temperate,BKPR,42.5728,21.0358,avg_thr_dif,0.2,0.1,0.3,0.4,0,0,0,0
2100,Temperate,BKPR,42.5728,21.0358,avg_pax_rem_dif,1,-1.2,-0.5,1.4,7.8,3.5,-11.8,-23.1
2100,Temperate,CYEG,53.3097,-113.58,avg_todr_dif,16.4,26.7,20.9,33.4,8.4,4.4,-3.1,13.9
2100,Temperate,CYEG,53.3097,-113.58,avg_thr_dif,0.1,0.4,0.3,0.4,0.3,0.8,0.8,0.8
2100,Temperate,CYEG,53.3097,-113.58,avg_pax_rem_dif,0,0.1,0.9,0.4,0,0.1,1.3,0.4
2100,Temperate,CYHZ,44.8808,-63.5086,avg_todr_dif,-2.5,24.2,-0.4,35.2,-11.2,44.5,14.9,63.9
2100,Temperate,CYHZ,44.8808,-63.5086,avg_thr_dif,0.2,-0.1,-0.1,-0.2,0.3,-0.5,-0.5,-0.7
2100,Temperate,CYHZ,44.8808,-63.5086,avg_pax_rem_dif,0.2,-0.1,-0.4,0.1,0.1,-1.1,-1,0.1
2100,Temperate,CYLW,49.9561,-119.378,avg_todr_dif,-0.7,-0.5,0.8,1.5,1.2,1.2,0.2,5.5
2100,Temperate,CYLW,49.9561,-119.378,avg_thr_dif,0,0.2,0.2,0.5,0,0,0,0
2100,Temperate,CYLW,49.9561,-119.378,avg_pax_rem_dif,-0.5,-0.2,0.5,1.8,-0.4,1.3,-8.9,4.5
