ssp,type,avg_todr_dif,avg_thr_dif,avg_pax_rem_dif,quantile
ssp126,Narrowbody,-89.3,-5.2,-34.8,0
ssp126,Narrowbody,-1,0,0,0.25
ssp126,Narrowbody,1.3,0,0,0.5
ssp126,Narrowbody,8.2,0.2,0.4,0.75
ssp126,Narrowbody,81.6,4.4,33.6,1
ssp126,Widebody,-99.5,-1.7,-38.2,0
ssp126,Widebody,-0.5,0,-0.1,0.25
ssp126,Widebody,0.4,0,0,0.5
ssp126,Widebody,2.8,0.2,1.1,0.75
ssp126,Widebody,105.1,2,42.8,1
ssp245,Narrowbody,-71.6,-5.9,-35.5,0
ssp245,Narrowbody,-0.2,0,0,0.25
ssp245,Narrowbody,4.3,0.1,0.1,0.5
ssp245,Narrowbody,11.8,0.2,0.6,0.75
ssp245,Narrowbody,102.1,5.7,34,1
ssp245,Widebody,-104.8,-1.2,-32.5,0
ssp245,Widebody,-0.4,0,0,0.25
ssp245,Widebody,0.6,0.1,0,0.5
ssp245,Widebody,3.5,0.3,1.5,0.75
ssp245,Widebody,145.1,1.3,36.1,1
ssp370,Narrowbody,-99.1,-6.4,-35.5,0
ssp370,Narrowbody,0.4,0.1,0,0.25
ssp370,Narrowbody,9.8,0.2,0.4,0.5
ssp370,Narrowbody,20.5,0.4,1,0.75
ssp370,Narrowbody,91.6,4.4,33.4,1
ssp370,Widebody,-175.8,-0.9,-28.9,0
ssp370,Widebody,0,0,0,0.25
ssp370,Widebody,1.2,0.3,0.5,0.5
ssp370,Widebody,5,0.6,2.9,0.75
ssp370,Widebody,132.8,3.1,27.3,1
ssp585,Narrowbody,-48.6,-4.5,-36,0
ssp585,Narrowbody,1.1,0.1,0,0.25
ssp585,Narrowbody,12.6,0.3,0.5,0.5
ssp585,Narrowbody,23.4,0.4,1.2,0.75
ssp585,Narrowbody,117.6,1.5,22.3,1
ssp585,Widebody,-70.8,-0.8,-33.2,0
ssp585,Widebody,0.1,0,0,0.25
ssp585,Widebody,1.4,0.3,0.5,0.5
ssp585,Widebody,6.1,0.7,3.2,0.75
ssp585,Widebody,107.8,1.8,28,1
