year,zone,icao,lat,lon,variable,Narrowbody_ssp126,Narrowbody_ssp245,Narrowbody_ssp370,Narrowbody_ssp585,Widebody_ssp126,Widebody_ssp245,Widebody_ssp370,Widebody_ssp585
2100,Temperate,BIKF,63.985,-22.6056,tko_ok_thr_min_rel_loe_dif,0,0,0,0,-0.2,-0.2,-0.1,-0.3
2100,Temperate,BIKF,63.985,-22.6056,tko_ok_thr_mid_rel_loe_dif,0,0,0,-0.1,0.2,0.2,0.1,0.4
2100,Temperate,BIKF,63.985,-22.6056,tko_ok_thr_max_no_rm_rel_loe_dif,0,0,0,0.1,0,0,0,0
2100,Temperate,BIKF,63.985,-22.6056,tko_ok_thr_max_rm_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,BIKF,63.985,-22.6056,tko_ok_thr_max_rel_loe_dif,0,0,0,0.1,0,0,0,0
2100,Temperate,BIKF,63.985,-22.6056,tko_ok_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,BIKF,63.985,-22.6056,tko_ko_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,BIKF,63.985,-22.6056,tko_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,BKPR,42.5728,21.0358,tko_ok_thr_min_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,BKPR,42.5728,21.0358,tko_ok_thr_mid_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,BKPR,42.5728,21.0358,tko_ok_thr_max_no_rm_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,BKPR,42.5728,21.0358,tko_ok_thr_max_rm_rel_loe_dif,0.2,-0.8,-0.8,-1.1,0.1,-0.2,-0.2,0
2100,Temperate,BKPR,42.5728,21.0358,tko_ok_thr_max_rel_loe_dif,0.2,-0.8,-0.8,-1.1,0.1,-0.2,-0.2,0
2100,Temperate,BKPR,42.5728,21.0358,tko_ok_rel_loe_dif,0.2,-0.8,-0.8,-1.1,0.1,-0.2,-0.2,0
2100,Temperate,BKPR,42.5728,21.0358,tko_ko_rel_loe_dif,-0.2,0.8,0.8,1.1,-0.1,0.2,0.2,0
2100,Temperate,BKPR,42.5728,21.0358,tko_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,CYEG,53.3097,-113.58,tko_ok_thr_min_rel_loe_dif,0,0,0,0,0,0,0,0
2100,Temperate,CYEG,53.3097,-113.58,tko_ok_thr_mid_rel_loe_dif,-1.1,-2,-3.9,-4.3,-1.1,-1.7,-3.3,-3.8
2100,Temperate,CYEG,53.3097,-113.58,tko_ok_thr_max_no_rm_rel_loe_dif,-0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.5
2100,Temperate,CYEG,53.3097,-113.58,tko_ok_thr_max_rm_rel_loe_dif,1.2,1.9,3.6,4,0.7,1.3,2.9,3.3
