year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
2015,ssp126,A20n,836490,309758,55184,1201432,83947,1285379
2015,ssp126,A359,82608,651529,233217,967354,318025,1285379
2015,ssp126,B39m,15952,492826,512329,1021107,264272,1285379
2015,ssp126,B789,24330,524644,266638,815612,469767,1285379
2015,ssp245,A20n,838854,307799,55085,1201738,83641,1285379
2015,ssp245,A359,83331,650786,234506,968623,316756,1285379
2015,ssp245,B39m,16092,492814,512779,1021685,263694,1285379
2015,ssp245,B789,24569,524176,269528,818273,467106,1285379
2015,ssp370,A20n,837628,308558,55363,1201549,83830,1285379
2015,ssp370,A359,82902,651382,234466,968750,316629,1285379
2015,ssp370,B39m,15857,492975,512914,1021746,263633,1285379
2015,ssp370,B789,24078,524948,268226,817252,468127,1285379
2015,ssp585,A20n,836608,309495,55204,1201307,84072,1285379
2015,ssp585,A359,82064,651515,234868,968447,316932,1285379
2015,ssp585,B39m,16233,492144,513426,1021803,263576,1285379
2015,ssp585,B789,24628,524219,267378,816225,469154,1285379
2016,ssp126,A20n,838798,311008,55187,1204993,84791,1289784
2016,ssp126,A359,82830,652494,235160,970484,319300,1289784
2016,ssp126,B39m,16372,493770,514813,1024955,264829,1289784
2016,ssp126,B789,24595,525713,267561,817869,471915,1289784
2016,ssp245,A20n,841578,308557,55134,1205269,84515,1289784
2016,ssp245,A359,83454,653405,234635,971494,318290,1289784
2016,ssp245,B39m,16089,495265,514531,1025885,263899,1289784
2016,ssp245,B789,24579,526809,269404,820792,468992,1289784
2016,ssp370,A20n,841019,309228,55457,1205704,84080,1289784
2016,ssp370,A359,83050,653965,234179,971194,318590,1289784
2016,ssp370,B39m,16141,493875,515929,1025945,263839,1289784
2016,ssp370,B789,24599,525757,269536,819892,469892,1289784
2016,ssp585,A20n,838723,311414,55028,1205165,84619,1289784
2016,ssp585,A359,81269,654970,234172,970411,319373,1289784
2016,ssp585,B39m,15671,494758,513978,1024407,265377,1289784
2016,ssp585,B789,23792,526655,266994,817441,472343,1289784
2017,ssp126,A20n,837106,310554,54532,1202192,84068,1286260
2017,ssp126,A359,80093,654967,231929,966989,319271,1286260
2017,ssp126,B39m,14994,494703,512303,1022000,264260,1286260
2017,ssp126,B789,23145,526042,266723,815910,470350,1286260
2017,ssp245,A20n,837631,309650,54787,1202068,84192,1286260
2017,ssp245,A359,81814,652528,233673,968015,318245,1286260
2017,ssp245,B39m,15520,494162,511905,1021587,264673,1286260
