year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
2015,ssp126,Narrowbody,919098,961287,288401,2168786,401972,2570758
2015,ssp126,Widebody,40282,1017470,778967,1836719,734039,2570758
2015,ssp245,Narrowbody,922185,958585,289591,2170361,400397,2570758
2015,ssp245,Widebody,40661,1016990,782307,1839958,730800,2570758
2015,ssp370,Narrowbody,920530,959940,289829,2170299,400459,2570758
2015,ssp370,Widebody,39935,1017923,781140,1838998,731760,2570758
2015,ssp585,Narrowbody,918672,961010,290072,2169754,401004,2570758
2015,ssp585,Widebody,40861,1016363,780804,1838028,732730,2570758
2016,ssp126,Narrowbody,921628,963502,290347,2175477,404091,2579568
2016,ssp126,Widebody,40967,1019483,782374,1842824,736744,2579568
2016,ssp245,Narrowbody,925032,961962,289769,2176763,402805,2579568
2016,ssp245,Widebody,40668,1022074,783935,1846677,732891,2579568
2016,ssp370,Narrowbody,924069,963193,289636,2176898,402670,2579568
2016,ssp370,Widebody,40740,1019632,785465,1845837,733731,2579568
2016,ssp585,Narrowbody,919992,966384,289200,2175576,403992,2579568
2016,ssp585,Widebody,39463,1021413,780972,1841848,737720,2579568
2017,ssp126,Narrowbody,917199,965521,286461,2169181,403339,2572520
2017,ssp126,Widebody,38139,1020745,779026,1837910,734610,2572520
2017,ssp245,Narrowbody,919445,962178,288460,2170083,402437,2572520
2017,ssp245,Widebody,39054,1019807,779245,1838106,734414,2572520
2017,ssp370,Narrowbody,909091,969471,287578,2166140,406380,2572520
2017,ssp370,Widebody,34801,1019037,777591,1831429,741091,2572520
2017,ssp585,Narrowbody,917588,964188,288678,2170454,402066,2572520
2017,ssp585,Widebody,37472,1021089,779714,1838275,734245,2572520
2018,ssp126,Narrowbody,917696,964193,287102,2168991,403529,2572520
2018,ssp126,Widebody,37299,1020104,780267,1837670,734850,2572520
2018,ssp245,Narrowbody,912584,967906,286983,2167473,405047,2572520
2018,ssp245,Widebody,35918,1020482,778029,1834429,738091,2572520
2018,ssp370,Narrowbody,911678,968994,284957,2165629,406891,2572520
2018,ssp370,Widebody,36230,1018990,777667,1832887,739633,2572520
2018,ssp585,Narrowbody,913748,967515,287614,2168877,403643,2572520
2018,ssp585,Widebody,35946,1021010,779111,1836067,736453,2572520
2019,ssp126,Narrowbody,918353,964328,287588,2170269,402251,2572520
2019,ssp126,Widebody,39165,1018990,780994,1839149,733371,2572520
2019,ssp245,Narrowbody,911642,967845,286269,2165756,406764,2572520
2019,ssp245,Widebody,37313,1017613,778063,1832989,739531,2572520
2019,ssp370,Narrowbody,916877,962941,286325,2166143,406377,2572520
2019,ssp370,Widebody,39520,1014508,780372,1834400,738120,2572520
2019,ssp585,Narrowbody,919683,962833,286653,2169169,403351,2572520
2019,ssp585,Widebody,38576,1019157,780738,1838471,734049,2572520
2020,ssp126,Narrowbody,921633,964724,289917,2176274,403294,2579568
2020,ssp126,Widebody,38582,1022534,783825,1844941,734627,2579568
2020,ssp245,Narrowbody,924661,961876,289626,2176163,403405,2579568
2020,ssp245,Widebody,39871,1018823,786784,1845478,734090,2579568
2020,ssp370,Narrowbody,920612,965063,289956,2175631,403937,2579568
2020,ssp370,Widebody,39686,1021029,782240,1842955,736613,2579568
2020,ssp585,Narrowbody,921259,964523,289262,2175044,404524,2579568
2020,ssp585,Widebody,39865,1017967,785160,1842992,736576,2579568
2021,ssp126,Narrowbody,922227,960765,288401,2171393,401127,2572520
2021,ssp126,Widebody,39452,1018731,784749,1842932,729588,2572520
2021,ssp245,Narrowbody,914557,966599,287760,2168916,403604,2572520
2021,ssp245,Widebody,37033,1019251,778847,1835131,737389,2572520
2021,ssp370,Narrowbody,921724,959508,289161,2170393,402127,2572520
