year,exp,type,cnt,thr_red_avg,thr_avg
2015,ssp126,Narrowbody,1201432,21.6055,0.783945
2015,ssp126,Widebody,967354,11.3919,0.886081
2015,ssp126,Narrowbody,1021107,5.99912,0.9400088
2015,ssp126,Widebody,815612,8.55474,0.9144526
2015,ssp245,Narrowbody,1201738,21.6224,0.783776
2015,ssp245,Widebody,968623,11.413,0.88587
2015,ssp245,Narrowbody,1021685,6.02001,0.9397999
2015,ssp245,Widebody,818273,8.55298,0.9144702
2015,ssp370,Narrowbody,1201549,21.6144,0.783856
2015,ssp370,Widebody,968750,11.393,0.88607
2015,ssp370,Narrowbody,1021746,6.00145,0.9399855
2015,ssp370,Widebody,817252,8.54128,0.9145872
2015,ssp585,Narrowbody,1201307,21.6174,0.783826
2015,ssp585,Widebody,968447,11.3813,0.886187
2015,ssp585,Narrowbody,1021803,5.99176,0.9400824
2015,ssp585,Widebody,816225,8.54612,0.9145388
2016,ssp126,Narrowbody,1204993,21.61,0.7839
2016,ssp126,Widebody,970484,11.3854,0.886146
2016,ssp126,Narrowbody,1024955,5.9944,0.940056
2016,ssp126,Widebody,817869,8.55152,0.9144848
2016,ssp245,Narrowbody,1205269,21.6313,0.783687
2016,ssp245,Widebody,971494,11.4179,0.885821
2016,ssp245,Narrowbody,1025885,6.01329,0.9398671
2016,ssp245,Widebody,820792,8.55812,0.9144188
2016,ssp370,Narrowbody,1205704,21.6125,0.783875
2016,ssp370,Widebody,971194,11.3934,0.886066
2016,ssp370,Narrowbody,1025945,5.98572,0.9401428
2016,ssp370,Widebody,819892,8.53312,0.9146688
2016,ssp585,Narrowbody,1205165,21.6123,0.783877
2016,ssp585,Widebody,970411,11.3614,0.886386
2016,ssp585,Narrowbody,1024407,5.97296,0.9402704
2016,ssp585,Widebody,817441,8.52481,0.9147519
2017,ssp126,Narrowbody,1202192,21.6117,0.783883
2017,ssp126,Widebody,966989,11.3686,0.886314
2017,ssp126,Narrowbody,1022000,5.95766,0.9404234
2017,ssp126,Widebody,815910,8.49834,0.9150166
2017,ssp245,Narrowbody,1202068,21.6132,0.783868
2017,ssp245,Widebody,968015,11.3798,0.886202
2017,ssp245,Narrowbody,1021587,5.98699,0.9401301
2017,ssp245,Widebody,816519,8.52875,0.9147125
2017,ssp370,Narrowbody,1201353,21.5865,0.784135
2017,ssp370,Widebody,964787,11.2731,0.887269
2017,ssp370,Narrowbody,1020373,5.88589,0.9411411
2017,ssp370,Widebody,811056,8.44119,0.9155881
2017,ssp585,Narrowbody,1201855,21.6233,0.783767
2017,ssp585,Widebody,968599,11.3481,0.886519
2017,ssp585,Narrowbody,1022377,5.96822,0.9403178
2017,ssp585,Widebody,815898,8.50949,0.9149051
2018,ssp126,Narrowbody,1201540,21.6183,0.783817
2018,ssp126,Widebody,967451,11.3437,0.886563
2018,ssp126,Narrowbody,1021406,5.95083,0.9404917
2018,ssp126,Widebody,816264,8.48234,0.9151766
2018,ssp245,Narrowbody,1201621,21.5976,0.784024
2018,ssp245,Widebody,965852,11.3278,0.886722
2018,ssp245,Narrowbody,1021051,5.93072,0.9406928
2018,ssp245,Widebody,813378,8.47957,0.9152043
2018,ssp370,Narrowbody,1201075,21.6008,0.783992
2018,ssp370,Widebody,964554,11.3067,0.886933
2018,ssp370,Narrowbody,1020619,5.89685,0.9410315
2018,ssp370,Widebody,812268,8.44858,0.9155142
2018,ssp585,Narrowbody,1202080,21.6055,0.783945
2018,ssp585,Widebody,966797,11.3335,0.886665
2018,ssp585,Narrowbody,1021963,5.92266,0.9407734
2018,ssp585,Widebody,814104,8.47887,0.9152113
2019,ssp126,Narrowbody,1202196,21.6204,0.783796
