year,exp,zone,icao,type,cnt,thr_red_avg
2015,ssp126,Frigid,ENBO,Narrowbody,2918,12.5
2015,ssp126,Frigid,ENTC,Narrowbody,2918,12.4465
2015,ssp126,Subtropical,FALA,Narrowbody,2918,23.5134
2015,ssp126,Subtropical,FALE,Narrowbody,2918,21.2382
2015,ssp126,Subtropical,FAOR,Narrowbody,2918,23.6131
2015,ssp126,Subtropical,FQMA,Narrowbody,2066,13.1031
2015,ssp126,Subtropical,GCFV,Narrowbody,2918,13.7214
2015,ssp126,Subtropical,GCLA,Narrowbody,2313,11.0445
2015,ssp126,Subtropical,GCLP,Narrowbody,2918,14.1844
2015,ssp126,Subtropical,GCRR,Narrowbody,2918,10.7848
2015,ssp126,Subtropical,GCTS,Narrowbody,2918,15.8167
2015,ssp126,Subtropical,GCXO,Narrowbody,2918,16.2303
2015,ssp126,Subtropical,HEGN,Narrowbody,2918,20.5816
2015,ssp126,Subtropical,HEMA,Narrowbody,2918,14.7731
2015,ssp126,Subtropical,HESH,Narrowbody,2918,12.5
2015,ssp126,Subtropical,KFLL,Narrowbody,1459,0.00753941
2015,ssp126,Subtropical,KMCO,Narrowbody,1284,0.0163551
2015,ssp126,Subtropical,KMIA,Narrowbody,1714,5.40665
2015,ssp126,Subtropical,KPBI,Narrowbody,1050,0.633333
2015,ssp126,Subtropical,KPIE,Narrowbody,341,5.60704
2015,ssp126,Subtropical,KSAT,Narrowbody,292,0.010274
2015,ssp126,Subtropical,KSFB,Narrowbody,257,0
2015,ssp126,Subtropical,KSRQ,Narrowbody,288,4.21528
2015,ssp126,Subtropical,KTPA,Narrowbody,1082,11.7726
2015,ssp126,Subtropical,MMCL,Narrowbody,1476,11.3069
2015,ssp126,Subtropical,MMCU,Narrowbody,1382,10.6845
2015,ssp126,Subtropical,MMHO,Narrowbody,1460,6.60685
2015,ssp126,Subtropical,MMMY,Narrowbody,2484,10.2701
2015,ssp126,Subtropical,MYNN,Narrowbody,1526,5.51573
2015,ssp126,Subtropical,OBBI,Narrowbody,2918,20.365
2015,ssp126,Subtropical,OEDF,Narrowbody,2918,21.111
2015,ssp126,Subtropical,OEGS,Narrowbody,2918,15.4873
2015,ssp126,Subtropical,OEHL,Narrowbody,2918,19.3982
2015,ssp126,Subtropical,OEMA,Narrowbody,2918,17.5308
2015,ssp126,Subtropical,OERK,Narrowbody,2918,21.6669
2015,ssp126,Subtropical,OETB,Narrowbody,2918,19.6936
2015,ssp126,Subtropical,OISS,Narrowbody,2918,24.2533
2015,ssp126,Subtropical,OKBK,Narrowbody,2918,19.267
2015,ssp126,Subtropical,OMAA,Narrowbody,2918,23.0576
2015,ssp126,Subtropical,OMDB,Narrowbody,2918,22.8211
2015,ssp126,Subtropical,OMDW,Narrowbody,2918,23.0141
2015,ssp126,Subtropical,OMSJ,Narrowbody,2918,20.792
2015,ssp126,Subtropical,OOMS,Narrowbody,2918,20.623
2015,ssp126,Subtropical,OPKC,Narrowbody,2918,16.1138
2015,ssp126,Subtropical,OTHH,Narrowbody,2918,24.72
2015,ssp126,Subtropical,RCBS,Narrowbody,2918,11.7334
2015,ssp126,Subtropical,RCMQ,Narrowbody,2918,17.6618
2015,ssp126,Subtropical,RCQC,Narrowbody,2918,14.8256
2015,ssp126,Subtropical,RCSS,Narrowbody,2918,12.172
2015,ssp126,Subtropical,RCTP,Narrowbody,2918,19.5048
2015,ssp126,Subtropical,RJKA,Narrowbody,1546,9.163
2015,ssp126,Subtropical,ROAH,Narrowbody,2918,12.5
2015,ssp126,Subtropical,ROIG,Narrowbody,1545,9.38188
2015,ssp126,Subtropical,ROMY,Narrowbody,1545,9.32751
2015,ssp126,Subtropical,SARI,Narrowbody,2918,14.1696
2015,ssp126,Subtropical,SASA,Narrowbody,2813,11.8386
2015,ssp126,Subtropical,SBCT,Narrowbody,1373,3.27167
2015,ssp126,Subtropical,SBFI,Narrowbody,2386,8.75063
2015,ssp126,Subtropical,SBFL,Narrowbody,996,11.3886
2015,ssp126,Subtropical,SBNF,Narrowbody,452,0
