year,exp,type,thr_avg
2015,ssp126,Narrowbody,0.855646219847976
2015,ssp126,Widebody,0.899059424882752
2015,ssp245,Narrowbody,0.855470633651357
2015,ssp245,Widebody,0.898967060757705
2015,ssp370,Narrowbody,0.855607324035182
2015,ssp370,Widebody,0.899119405918862
2015,ssp585,Narrowbody,0.85564581474367
2015,ssp585,Widebody,0.899153633949488
2016,ssp126,Narrowbody,0.855674130130792
2016,ssp126,Widebody,0.899106469901468
2016,ssp245,Narrowbody,0.85549866210042
2016,ssp245,Widebody,0.898917328794958
2016,ssp370,Narrowbody,0.85571540277342
2016,ssp370,Widebody,0.899159153769947
2016,ssp585,Narrowbody,0.85573432655559
2016,ssp585,Widebody,0.899355791340503
2017,ssp126,Narrowbody,0.855812185377611
2017,ssp126,Widebody,0.899449211643957
2017,ssp245,Narrowbody,0.855657435479739
2017,ssp245,Widebody,0.899247297131856
2017,ssp370,Narrowbody,0.856243233728867
2017,ssp370,Widebody,0.900202758853119
2017,ssp585,Narrowbody,0.855726240072214
2017,ssp585,Widebody,0.899497449157606
2018,ssp126,Narrowbody,0.855806332557921
2018,ssp126,Widebody,0.899657116498768
2018,ssp245,Narrowbody,0.855994206713676
2018,ssp245,Widebody,0.899742765832804
2018,ssp370,Narrowbody,0.856134150075483
2018,ssp370,Widebody,0.89999875091703
2018,ssp585,Narrowbody,0.856008891021801
2018,ssp585,Widebody,0.899714571558947
2019,ssp126,Narrowbody,0.855788944610051
2019,ssp126,Widebody,0.899478128975273
2019,ssp245,Narrowbody,0.85613715572096
2019,ssp245,Widebody,0.899977976925427
2019,ssp370,Narrowbody,0.855903882564837
2019,ssp370,Widebody,0.899465295705048
2019,ssp585,Narrowbody,0.855811651479707
2019,ssp585,Widebody,0.899447370776379
2020,ssp126,Narrowbody,0.855727882999249
2020,ssp126,Widebody,0.899373093722528
2020,ssp245,Narrowbody,0.855661783733203
2020,ssp245,Widebody,0.899215338985029
2020,ssp370,Narrowbody,0.855702153941486
2020,ssp370,Widebody,0.89923869149312
2020,ssp585,Narrowbody,0.855792218085488
2020,ssp585,Widebody,0.89943001410155
2021,ssp126,Narrowbody,0.855605458364549
2021,ssp126,Widebody,0.899333633006877
2021,ssp245,Narrowbody,0.85595271240286
2021,ssp245,Widebody,0.899856463294927
2021,ssp370,Narrowbody,0.855666385600059
2021,ssp370,Widebody,0.899161618523251
2021,ssp585,Narrowbody,0.855979138818752
2021,ssp585,Widebody,0.899650191764307
2022,ssp126,Narrowbody,0.855564177362495
2022,ssp126,Widebody,0.89902919556578
2022,ssp245,Narrowbody,0.856018487638318
2022,ssp245,Widebody,0.899747115791128
2022,ssp370,Narrowbody,0.855787320877734
2022,ssp370,Widebody,0.899298700753689
2022,ssp585,Narrowbody,0.856029364381137
2022,ssp585,Widebody,0.899864876460507
2023,ssp126,Narrowbody,0.856208276392398
2023,ssp126,Widebody,0.900127689595492
2023,ssp245,Narrowbody,0.855639775015149
2023,ssp245,Widebody,0.899176366788409
2023,ssp370,Narrowbody,0.855555865617116
2023,ssp370,Widebody,0.898950406264147
2023,ssp585,Narrowbody,0.855737247258386
2023,ssp585,Widebody,0.899357499213214
2024,ssp126,Narrowbody,0.856174735494162
2024,ssp126,Widebody,0.900069343990016
2024,ssp245,Narrowbody,0.856008151606782
2024,ssp245,Widebody,0.899598939259082
2024,ssp370,Narrowbody,0.855688725500398
2024,ssp370,Widebody,0.899209652303546
2024,ssp585,Narrowbody,0.855747442645924
2024,ssp585,Widebody,0.899377304496411
2025,ssp126,Narrowbody,0.855873049578652
2025,ssp126,Widebody,0.899443742761671
2025,ssp245,Narrowbody,0.855806230782806
2025,ssp245,Widebody,0.899303231463262
2025,ssp370,Narrowbody,0.855877812327893
2025,ssp370,Widebody,0.899527202240683
2025,ssp585,Narrowbody,0.855730098825948
2025,ssp585,Widebody,0.899191205190088
2026,ssp126,Narrowbody,0.855761930094755
2026,ssp126,Widebody,0.899288511665163
2026,ssp245,Narrowbody,0.855681001398154
2026,ssp245,Widebody,0.899139248713761
2026,ssp370,Narrowbody,0.855764606327314
2026,ssp370,Widebody,0.899288170975184
2026,ssp585,Narrowbody,0.855743217751175
2026,ssp585,Widebody,0.899329270873087
2027,ssp126,Narrowbody,0.856006152573957
2027,ssp126,Widebody,0.89993825473594
2027,ssp245,Narrowbody,0.855637140399112
2027,ssp245,Widebody,0.899027534903066
2027,ssp370,Narrowbody,0.855899042787857
2027,ssp370,Widebody,0.899498316007257
2027,ssp585,Narrowbody,0.855667459735808
2027,ssp585,Widebody,0.899188022023016
2028,ssp126,Narrowbody,0.856028948712018
2028,ssp126,Widebody,0.899740762114302
2028,ssp245,Narrowbody,0.855773940218763
2028,ssp245,Widebody,0.899330408286244
2028,ssp370,Narrowbody,0.855735271450363
2028,ssp370,Widebody,0.899346409910654
2028,ssp585,Narrowbody,0.855787831283299
2028,ssp585,Widebody,0.89951667891886
2029,ssp126,Narrowbody,0.855831954874152
2029,ssp126,Widebody,0.899526917222146
2029,ssp245,Narrowbody,0.856168793911615
2029,ssp245,Widebody,0.900022505082524
2029,ssp370,Narrowbody,0.855897905991305
2029,ssp370,Widebody,0.899588773668222
2029,ssp585,Narrowbody,0.855879456134753
2029,ssp585,Widebody,0.899652899082804
2030,ssp126,Narrowbody,0.855622694969396
2030,ssp126,Widebody,0.899014336967486
2030,ssp245,Narrowbody,0.856011073971465
2030,ssp245,Widebody,0.899850618797166
2030,ssp370,Narrowbody,0.855940727717735
2030,ssp370,Widebody,0.899653170586308
2030,ssp585,Narrowbody,0.856233249703355
2030,ssp585,Widebody,0.900214398628726
2031,ssp126,Narrowbody,0.855775506371731
2031,ssp126,Widebody,0.899429430911134
2031,ssp245,Narrowbody,0.855935367993176
2031,ssp245,Widebody,0.899667999660795
2031,ssp370,Narrowbody,0.855864575050939
2031,ssp370,Widebody,0.899420609468338
2031,ssp585,Narrowbody,0.855770336560648
2031,ssp585,Widebody,0.899096409302877
2032,ssp126,Narrowbody,0.855965360728084
2032,ssp126,Widebody,0.899737115394587
2032,ssp245,Narrowbody,0.855928339263705
2032,ssp245,Widebody,0.899506170864365
2032,ssp370,Narrowbody,0.85578460781306
2032,ssp370,Widebody,0.89948642683871
2032,ssp585,Narrowbody,0.855845444455112
2032,ssp585,Widebody,0.899547335307065
2033,ssp126,Narrowbody,0.855871217709624
2033,ssp126,Widebody,0.899601270249217
2033,ssp245,Narrowbody,0.856166994679622
2033,ssp245,Widebody,0.900084917495522
2033,ssp370,Narrowbody,0.856393678862942
2033,ssp370,Widebody,0.900550296893731
2033,ssp585,Narrowbody,0.855939690368531
2033,ssp585,Widebody,0.899664921528544
2034,ssp126,Narrowbody,0.855818048636369
2034,ssp126,Widebody,0.899556425564891
2034,ssp245,Narrowbody,0.856221313267667
2034,ssp245,Widebody,0.900155874651278
2034,ssp370,Narrowbody,0.855984738205671
2034,ssp370,Widebody,0.899743996499191
2034,ssp585,Narrowbody,0.856134530837957
2034,ssp585,Widebody,0.899998273518096
2035,ssp126,Narrowbody,0.855913390915797
2035,ssp126,Widebody,0.899567793873882
2035,ssp245,Narrowbody,0.855936824543153
2035,ssp245,Widebody,0.899731886271552
2035,ssp370,Narrowbody,0.856115336671957
2035,ssp370,Widebody,0.899838336936751
2035,ssp585,Narrowbody,0.856238893891836
2035,ssp585,Widebody,0.899913408013905
2036,ssp126,Narrowbody,0.855834935907722
2036,ssp126,Widebody,0.899427005067973
2036,ssp245,Narrowbody,0.855786724861787
2036,ssp245,Widebody,0.899433909245042
2036,ssp370,Narrowbody,0.855864582336178
2036,ssp370,Widebody,0.89969094080835
2036,ssp585,Narrowbody,0.855881748348472
2036,ssp585,Widebody,0.899445797805828
2037,ssp126,Narrowbody,0.855677416216881
2037,ssp126,Widebody,0.899141937398369
2037,ssp245,Narrowbody,0.856035770696875
2037,ssp245,Widebody,0.89988883197024
2037,ssp370,Narrowbody,0.856012255042278
2037,ssp370,Widebody,0.899911293331073
2037,ssp585,Narrowbody,0.855915485696273
2037,ssp585,Widebody,0.899692894544543
2038,ssp126,Narrowbody,0.856231150644051
2038,ssp126,Widebody,0.90007648845625
2038,ssp245,Narrowbody,0.855917537077267
2038,ssp245,Widebody,0.899698170130063
2038,ssp370,Narrowbody,0.855972379794983
2038,ssp370,Widebody,0.899750628110513
2038,ssp585,Narrowbody,0.856228974193909
